movie_id,cast_set_num,movie_title,duration,director_name,color,genres,plot_keywords,movie_language,country,content_rating,budget,title_year,aspect_ratio
M813,CS912,Deadpool ,108,Tim Miller,Color,Action|Adventure|Comedy|Romance|Sci-Fi,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,English,USA,R,58000000,2016,2.35
M4410,CS4509,Kickboxer: Vengeance ,90,John Stockwell,,Action,,,USA,,17000000,2016,
M1211,CS1310,Ride Along 2 ,102,Tim Story,Color,Action|Comedy,computer hacker|crime boss|detective|drugs|wedding,English,USA,PG-13,40000000,2016,2.35
M943,CS1042,Central Intelligence ,107,Rawson Marshall Thurber,Color,Action|Comedy|Crime,accountant|blooper|espionage|facebook|high school reunion,English,USA,PG-13,50000000,2016,2.35
M011,CS110,Batman v Superman: Dawn of Justice ,183,Zack Snyder,Color,Action|Adventure|Sci-Fi,based on comic book|batman|sequel to a reboot|superhero|superman,English,USA,PG-13,250000000,2016,2.35
M093,CS192,Independence Day: Resurgence ,120,Roland Emmerich,Color,Action|Adventure|Sci-Fi,alien|battle|defense|independence day|mothership,English,USA,PG-13,165000000,2016,2.35
M028,CS127,Captain America: Civil War ,147,Anthony Russo,Color,Action|Adventure|Sci-Fi,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,English,USA,PG-13,250000000,2016,2.35
M4773,CS4872,Fight to the Finish ,94,Warren Sheppard,Color,Action|Romance|Sport,fighting|karate,English,USA,PG-13,150000,2016,
M109,CS208,Warcraft ,123,Duncan Jones,Color,Action|Adventure|Fantasy,based on video game|fictional language|fictional war|orc|sword and sorcery,English,USA,PG-13,160000000,2016,2.35
M138,CS237,The Legend of Tarzan ,110,David Yates,Color,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,English,USA,PG-13,180000000,2016,2.35
M3434,CS3533,Code of Honor ,106,Michael Winnick,Color,Action,gun|mayor|nightclub|police|vigilantism,English,USA,R,8000000,2016,
M1011,CS1110,Free State of Jones ,139,Gary Ross,Color,Action|Biography|Drama|History|War,american civil war|civil war|u.s. civil war,English,USA,R,50000000,2016,1.85
M1368,CS1467,The 5th Wave ,112,J Blakeson,Color,Action|Adventure|Sci-Fi|Thriller,alien|attack|based on novel|based on young adult novel|fear,English,USA,PG-13,38000000,2016,2.35
M151,CS250,Ghostbusters ,116,Paul Feig,Color,Action|Comedy|Fantasy|Sci-Fi,ghost|ghostbuster|ghostbusters|male objectification|reboot,English,USA,PG-13,144000000,2016,2.35
M155,CS254,Kung Fu Panda 3 ,95,Alessandro Carloni,Color,Action|Adventure|Animation|Comedy|Family,china|kung fu|panda|pig|village,English,USA,PG,145000000,2016,2.35
M971,CS1070,13 Hours ,144,Michael Bay,Color,Action|Drama|Thriller|War,based on true story|cia agent|libya|mercenary|u.s. ambassador,English,USA,R,50000000,2016,2.35
M164,CS263,Gods of Egypt ,126,Alex Proyas,Color,Action|Adventure|Fantasy,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,English,USA,PG-13,140000000,2016,2.35
M321,CS420,In the Heart of the Sea ,122,Ron Howard,Color,Action|Adventure|Biography|Drama|History|Thriller,emaciation|ship|starvation|vomiting|whale,English,USA,PG-13,100000000,2015,1.85
M3987,CS4086,Chain of Command ,88,Kevin Carraway,Color,Action|Thriller,army|michael jai white|ohio|steve austin,English,USA,R,5000000,2015,1.33
M2021,CS2120,Point Break ,114,Ericson Core,Color,Action|Crime|Sport|Thriller,athlete|extreme sports|fbi|fbi agent|heist,English,USA,PG-13,105000000,2015,2.35
M4449,CS4548,Wind Walkers ,93,Russell Friedenberg,Color,Action|Horror|Thriller,after dark horrorfest,English,USA,R,2000000,2015,
M4446,CS4545,Checkmate ,97,Timothy Woodward Jr.,Color,Action|Crime|Thriller,,English,USA,,1500000,2015,2.35
M030,CS129,Jurassic World ,124,Colin Trevorrow,Color,Action|Adventure|Sci-Fi|Thriller,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,English,USA,PG-13,150000000,2015,2
M1865,CS1964,Self/less ,117,Tarsem Singh,Color,Action|Mystery|Sci-Fi|Thriller,cancer|elderly man|funeral|medical|transhumanism,English,USA,PG-13,26000000,2015,2.35
M4769,CS4868,Subconscious ,122,Georgia Hilton,Color,Action|Mystery|Thriller,military|submarine|suspense|time travel|world war two,English,USA,R,,2015,
M3819,CS3918,Navy Seals vs. Zombies ,97,Stanton Barrett,Color,Action|Horror,building|infection|navy seal|shot through the head|zombie,English,USA,,,2015,
M319,CS418,Point Break ,114,Ericson Core,Color,Action|Crime|Sport|Thriller,athlete|extreme sports|fbi|fbi agent|heist,English,USA,PG-13,105000000,2015,2.35
M4977,CS5076,Queen Crab ,80,Brett Piper,Color,Action|Sci-Fi|Thriller,,English,USA,,75000,2015,
M4346,CS4445,The Marine 4: Moving Target ,90,William Kaufman,Color,Action|Thriller,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,English,USA,R,1950000,2015,1.78
M1464,CS1563,Heist ,93,Scott Mann,Color,Action|Crime|Thriller,bus|die hard scenario,English,USA,R,19000000,2015,2.35
M626,CS725,Blackhat ,133,Michael Mann,Color,Action|Crime|Drama|Mystery|Thriller,chinese|computer|cybercrime|hacker|one word title,English,USA,R,70000000,2015,2.35
M1042,CS1141,Chappie ,120,Neill Blomkamp,Color,Action|Crime|Drama|Sci-Fi|Thriller,artificial intelligence|consciousness|future|mind uploading|robot,English,USA,R,49000000,2015,2.35
M2768,CS2867,Broken Horses ,101,Vidhu Vinod Chopra,Color,Action|Crime|Drama|Mystery|Thriller,,English,USA,R,15000000,2015,2.35
M549,CS648,The Man from U.N.C.L.E. ,116,Guy Ritchie,Color,Action|Adventure|Comedy,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,English,USA,PG-13,75000000,2015,2.35
M186,CS285,Ant-Man ,117,Peyton Reed,Color,Action|Adventure|Comedy|Sci-Fi,ant|chinatown san francisco|heist|sabotage|vault,English,USA,PG-13,130000000,2015,1.85
M009,CS108,Avengers: Age of Ultron ,141,Joss Whedon,Color,Action|Adventure|Sci-Fi,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,English,USA,PG-13,250000000,2015,2.35
M1477,CS1576,Hot Pursuit ,87,Anne Fletcher,Color,Action|Comedy|Crime,danger|drug cartel|female cop|female police officer|fugitive,English,USA,PG-13,35000000,2015,2.35
M4658,CS4757,American Hero ,86,Nick Love,Color,Action|Comedy|Drama|Sci-Fi,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,English,USA,,990000,2015,
M4783,CS4882,Diamond Ruff ,82,Alec Asten,Color,Action,prison|prisoner|reverend|terminal illness|two word title,English,USA,R,500000,2015,
M3751,CS3850,No Escape ,103,John Erick Dowdle,Color,Action|Thriller,asia|fictional country|hotel|rebellion|revolution,English,USA,R,5000000,2015,1.85
M046,CS145,Furious 7 ,140,James Wan,Color,Action|Crime|Thriller,car falling off a cliff|hospital|revenge|star died before release|terrorist,English,USA,PG-13,190000000,2015,2.35
M1645,CS1744,Sicario ,121,Denis Villeneuve,Color,Action|Crime|Drama|Mystery|Thriller,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,English,USA,R,30000000,2015,2.39
M089,CS188,Tomorrowland ,130,Brad Bird,Color,Action|Adventure|Family|Mystery|Sci-Fi,boy genius|futuristic city|inventor|teenage girl|time travel,English,USA,PG,190000000,2015,2.2
M4936,CS5035,Heroes of Dirt ,98,Eric Bugbee,Color,Action|Drama|Sport,bike|bmx|drugs|troubled teen|youth,English,USA,PG-13,,2015,
M564,CS663,Minions ,91,Kyle Balda,Color,Action|Animation|Comedy|Family|Sci-Fi,antarctica|minion|queen|super villain|villain,English,USA,PG,74000000,2015,1.85
M390,CS489,Fantastic Four ,100,Josh Trank,Color,Action|Adventure|Sci-Fi,box office flop|critically bashed|portal|teleportation|troubled production,English,USA,PG-13,120000000,2015,2.35
M502,CS601,The Last Witch Hunter ,106,Breck Eisner,Color,Action|Adventure|Fantasy,box office flop|burned to death|magic|witch|witch hunter,English,USA,PG-13,90000000,2015,2.35
M2353,CS2452,Survivor ,96,James McTeigue,Color,Action|Crime|Thriller,cigarette lighter|death|fire|on the run|terrorist,English,USA,PG-13,20000000,2015,2.35
M3267,CS3366,Re-Kill ,88,Valeri Milev,Color,Action|Horror,after dark|after dark horrorfest|fictional tv news show|outbreak,English,USA,R,9500000,2015,1.78
M063,CS162,Jupiter Ascending ,127,Lana Wachowski,Color,Action|Adventure|Sci-Fi,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,English,USA,PG-13,176000000,2015,2.35
M3273,CS3372,Into the Grizzly Maze ,94,David Hackl,,Action|Horror|Thriller,bear|breasts|female nudity|grizzly|wilderness,English,USA,R,10000000,2015,1.85
M1014,CS1113,Run All Night ,114,Jaume Collet-Serra,Color,Action|Crime|Drama|Thriller,death|drug dealer|limousine|limousine driver|one night,English,USA,R,50000000,2015,2.35
M373,CS472,Pixels ,106,Chris Columbus,Color,Action|Animation|Comedy|Sci-Fi,alien|arcade game|chase|driving in reverse|video gamer,English,USA,PG-13,88000000,2015,2.35
M1726,CS1825,Wild Card ,92,Simon West,Color,Action|Crime|Drama|Thriller,bodyguard|criminal|gambling|mob boss|thug,English,USA,R,30000000,2015,2.35
M4154,CS4253,Unnatural ,89,Hank Braxtan,Color,Action|Horror|Thriller,alaska|climate change|global|polar bear|scientific,English,USA,R,3000000,2015,2.35
M4147,CS4246,Close Range ,80,Isaac Florentine,Color,Action|Crime,corrupt sheriff|drug cartel|flash drive|niece|sheriff,English,USA,,3000000,2015,
M3318,CS3417,Heist ,93,Scott Mann,Color,Action|Crime|Thriller,bus|die hard scenario,English,USA,R,19000000,2015,2.35
M250,CS349,Fantastic Four ,100,Josh Trank,Color,Action|Adventure|Sci-Fi,box office flop|critically bashed|portal|teleportation|troubled production,English,USA,PG-13,120000000,2015,2.35
M252,CS351,San Andreas ,114,Brad Peyton,Color,Action|Adventure|Drama|Thriller,disaster movie|earthquake|journey|natural disaster|san andreas fault,English,USA,PG-13,110000000,2015,2.35
M1352,CS1451,Paul Blart: Mall Cop 2 ,94,Andy Fickman,Color,Action|Comedy|Crime,character name in title|no opening credits|sequel|wilhelm scream,English,USA,PG,30000000,2015,1.85
M731,CS830,The Scorch Trials ,132,Wes Ball,Color,Action|Sci-Fi|Thriller,desert|disease|escape|resistance|virus,English,USA,PG-13,61000000,2015,2.35
M110,CS209,Terminator Genisys ,126,Alan Taylor,Color,Action|Adventure|Sci-Fi,alternate timeline|cyborg|future|robot|time machine,English,USA,PG-13,155000000,2015,2.35
M1318,CS1417,The Gunman ,115,Pierre Morel,Color,Action|Crime|Drama|Mystery|Thriller,assassination|blood vomiting|death|hit squad|mercenary,English,USA,R,40000000,2015,2.35
M471,CS570,Fury ,134,David Ayer,Color,Action|Drama|War,battle|battlefield|brutality|combat|tank,English,USA,R,68000000,2014,2.35
M4860,CS4959,Amidst the Devil's Wings ,90,Daniel Columbie,Color,Action|Crime|Drama,,English,USA,,300000,2014,
M650,CS749,Need for Speed ,132,Scott Waugh,Color,Action|Crime|Drama|Thriller,cross country|custom car|illegal street racing|police officer crushed|street racing,English,USA,PG-13,66000000,2014,2.35
M981,CS1080,Into the Storm ,89,Steven Quale,Color,Action|Thriller,danger|graduation|storm|teenage boy|tornado,English,USA,PG-13,50000000,2014,1.85
M692,CS791,Sin City: A Dame to Kill For ,102,Frank Miller, Black and White,Action|Crime|Thriller,box office flop|female frontal nudity|female rear nudity|jackpot|rescue,English,USA,R,65000000,2014,1.85
M761,CS860,Jack Ryan: Shadow Recruit ,105,Kenneth Branagh,Color,Action|Drama|Thriller,covert analyst|marine|russian|spy|stock market,English,USA,PG-13,60000000,2014,2.35
M940,CS1039,22 Jump Street ,112,Phil Lord,Color,Action|Comedy|Crime,college|drugs|hidden camera|tattoo|undercover,English,USA,R,50000000,2014,2.35
M849,CS948,The Equalizer ,132,Antoine Fuqua,Color,Action|Crime|Thriller,assassin|ex soldier|gangster|hanged man|mysterious past,English,USA,R,55000000,2014,2.35
M815,CS914,American Sniper ,133,Clint Eastwood,Color,Action|Biography|Drama|History|Thriller|War,assassin|death of child|iraq|sniper|sniper rifle,English,USA,R,58800000,2014,2.35
M038,CS137,Transformers: Age of Extinction ,165,Michael Bay,Color,Action|Adventure|Sci-Fi,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,English,USA,PG-13,210000000,2014,2.35
M040,CS139,The Amazing Spider-Man 2 ,142,Marc Webb,Color,Action|Adventure|Fantasy|Sci-Fi,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,English,USA,PG-13,200000000,2014,2.35
M4777,CS4876,Born to Fly: Elizabeth Streb vs. Gravity ,82,Catherine Gund,Color,Action|Biography|Documentary|Sport,three word title,English,USA,,500000,2014,
M048,CS147,X-Men: Days of Future Past ,149,Bryan Singer,Color,Action|Adventure|Fantasy|Sci-Fi|Thriller,dystopia|super strength|supernatural power|time paradox|time travel,English,USA,PG-13,200000000,2014,2.35
M4717,CS4816,Light from the Darkroom ,90,Lance McDaniel,Color,Action|Drama|Thriller,china|faith|panama|photography|suspense,English,USA,PG-13,600000,2014,
M4691,CS4790,Destiny ,,Joseph Kosinski,Color,Action|Adventure|Fantasy|Sci-Fi,first person shooter,English,USA,,,2014,
M4488,CS4587,The Algerian ,99,Giovanni Zelko,Color,Action|Romance|Thriller,algeria|algerian|los angeles california|muslim,English,USA,,1300000,2014,1.85
M4423,CS4522,Unsullied ,93,Simeon Rice,Color,Action|Horror|Thriller,,English,USA,R,1500000,2014,2.35
M076,CS175,Edge of Tomorrow ,113,Doug Liman,Color,Action|Adventure|Sci-Fi,alien|combat|dying repeatedly|end of the world|time loop,English,USA,PG-13,178000000,2014,2.35
M083,CS182,Maleficent ,97,Robert Stromberg,Color,Action|Adventure|Family|Fantasy|Romance,curse|dark fantasy|fairy|king|kingdom,English,USA,PG,180000000,2014,2.35
M084,CS183,Dawn of the Planet of the Apes ,130,Matt Reeves,Color,Action|Adventure|Drama|Sci-Fi,ape|dam|leader|post apocalypse|sequel,English,USA,PG-13,170000000,2014,1.85
M087,CS186,Captain America: The Winter Soldier ,136,Anthony Russo,Color,Action|Adventure|Sci-Fi,conspiracy|heroism|megalomaniac|super soldier|world domination,English,USA,PG-13,170000000,2014,2.35
M090,CS189,Big Hero 6 ,102,Don Hall,Color,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,high tech|martial arts|masked man|robot|superhero,English,USA,PG,165000000,2014,2.39
M096,CS195,Guardians of the Galaxy ,121,James Gunn,Color,Action|Adventure|Sci-Fi,bounty hunter|outer space|raccoon|talking animal|tree,English,USA,PG-13,170000000,2014,2.35
M4021,CS4120,Wicked Blood ,92,Mark Young,Color,Action|Crime|Drama|Thriller,chess|drugs|love|meth|pawn,English,USA,Not Rated,3500000,2014,1.85
M3873,CS3972,Falcon Rising ,103,Ernie Barbarash,Color,Action|Adventure,,English,USA,R,4500000,2014,
M3540,CS3639,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,45,Richard Rich,,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,blindness|cave|spirit|wolf|wolf cub,,USA,,7000000,2014,
M3427,CS3526,Swelter ,96,Keith Parmer,Color,Action|Crime|Drama|Thriller,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,English,USA,R,8000000,2014,
M3289,CS3388,The Purge: Anarchy ,103,James DeMonaco,Color,Action|Horror|Sci-Fi|Thriller,held at gunpoint|machete|masked man|sequel|violence,English,USA,R,9000000,2014,2.35
M163,CS262,How to Train Your Dragon 2 ,102,Dean DeBlois,Color,Action|Adventure|Animation|Comedy|Family|Fantasy,dragon|father son relationship|husband wife relationship|mother son relationship|viking,English,USA,PG,145000000,2014,2.35
M2837,CS2936,RoboCop ,117,José Padilha,Color,Action|Crime|Sci-Fi|Thriller,law enforcement|police|robocop|robot|technology,English,USA,PG-13,100000000,2014,2.35
M2821,CS2920,Teenage Mutant Ninja Turtles ,101,Jonathan Liebesman,Color,Action|Adventure|Comedy|Sci-Fi,18 wheeler|mutant|ninja|sewer|turtle,English,USA,PG-13,125000000,2014,2.35
M2679,CS2778,The November Man ,108,Roger Donaldson,Color,Action|Crime|Thriller,critically bashed|premarital sex|sex scene|sex standing up|stripper,English,USA,R,15000000,2014,2.35
M194,CS293,Noah ,138,Darren Aronofsky,Color,Action|Adventure|Drama,ark|flood|noah's ark|water|wrath of god,English,USA,PG-13,125000000,2014,1.85
M2569,CS2668,Left Behind ,110,Vic Armstrong,Color,Action|Drama|Fantasy|Mystery|Thriller,bible quote|chaos|faith|riot|shrine,English,USA,PG-13,16000000,2014,2.35
M2484,CS2583,The Prince ,93,Brian A Miller,Color,Action|Thriller,assassin|fight|mechanic|rescue|rival,English,USA,R,18000000,2014,2.35
M2400,CS2499,Left Behind ,110,Vic Armstrong,Color,Action|Drama|Fantasy|Mystery|Thriller,bible quote|chaos|faith|riot|shrine,English,USA,PG-13,16000000,2014,2.35
M232,CS331,RoboCop ,117,José Padilha,Color,Action|Crime|Sci-Fi|Thriller,law enforcement|police|robocop|robot|technology,English,USA,PG-13,100000000,2014,2.35
M2317,CS2416,A Most Violent Year ,125,J.C. Chandor,Color,Action|Crime|Drama|Thriller,american dream|immigrant|new york city|oil|violence,English,USA,R,20000000,2014,2.35
M246,CS345,Teenage Mutant Ninja Turtles ,101,Jonathan Liebesman,Color,Action|Adventure|Comedy|Sci-Fi,18 wheeler|mutant|ninja|sewer|turtle,English,USA,PG-13,125000000,2014,2.35
M262,CS361,300: Rise of an Empire ,102,Noam Murro,Color,Action|Drama|Fantasy|War,army|commander|female rear nudity|greek|navy,English,USA,R,110000000,2014,2.35
M2016,CS2115,Red Sky ,100,Mario Van Peebles,,Action|Thriller,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,English,USA,PG-13,25000000,2014,
M5013,CS5112,Sabotage ,109,David Ayer,Color,Action|Crime|Drama|Thriller,dea|drug cartel|kicked in the crotch|strip club|tough girl,English,USA,R,35000000,2014,1.85
M1887,CS1986,Ride Along ,99,Tim Story,Color,Action|Comedy|Crime|Romance,gunfight|outrunning explosion|police|security guard|street shootout,English,USA,PG-13,25000000,2014,2.35
M315,CS414,Hercules ,101,Brett Ratner,Color,Action|Adventure,army|greek mythology|hercules|king|mercenary,English,USA,PG-13,100000000,2014,2.35
M318,CS417,The Expendables 3 ,131,Patrick Hughes,Color,Action|Adventure|Thriller,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,English,USA,PG-13,90000000,2014,2.35
M342,CS441,Seventh Son ,102,Sergey Bodrov,Color,Action|Adventure|Fantasy,apprentice|demon|exorcism|master apprentice relationship|witch,English,USA,PG-13,95000000,2014,2.35
M1780,CS1879,3 Days to Kill ,123,McG,Color,Action|Drama|Thriller,cancer|estranged wife|leather dress|spy|terrorist,English,USA,PG-13,28000000,2014,2.35
M1512,CS1611,The Maze Runner ,113,Wes Ball,Color,Action|Mystery|Sci-Fi|Thriller,based on novel|concrete wall|maze|open ended|teenage boy,English,USA,PG-13,34000000,2014,2.35
M1493,CS1592,Sabotage ,109,David Ayer,Color,Action|Crime|Drama|Thriller,dea|drug cartel|kicked in the crotch|strip club|tough girl,English,USA,R,35000000,2014,1.85
M591,CS690,Hercules ,101,Brett Ratner,Color,Action|Adventure,army|greek mythology|hercules|king|mercenary,English,USA,PG-13,100000000,2014,2.35
M609,CS708,Dracula Untold ,92,Gary Shore,Color,Action|Drama|Fantasy|Horror|War,death of wife|dracula|tarantula|turk|vampire,English,USA,PG-13,70000000,2014,2.35
M630,CS729,The Legend of Hercules ,99,Renny Harlin,Color,Action|Adventure|Fantasy,ancient greece|forbidden love|hercules|king|slavery,English,USA,PG-13,70000000,2014,2.35
M1716,CS1815,Dead Man Down ,118,Niels Arden Oplev,Color,Action|Crime|Drama|Thriller,crime lord|dead body|dead body in a freezer|new york city|truck explosion,English,USA,R,30000000,2013,2.35
M1704,CS1803,The Last Stand ,107,Jee-woon Kim,Color,Action|Crime|Thriller,deputy|escape|fbi|modern western|sheriff,English,USA,R,45000000,2013,2.35
M236,CS335,Oblivion ,124,Joseph Kosinski,Color,Action|Adventure|Mystery|Sci-Fi,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,English,USA,PG-13,120000000,2013,2.35
M230,CS329,Elysium ,109,Neill Blomkamp,Color,Action|Drama|Sci-Fi|Thriller,christ figure|class differences|messiah|saviour|social commentary,English,USA,R,115000000,2013,2.35
M4969,CS5068,Echo Dr. ,81,Patrick Ryan Sims,Color,Action|Drama|Sci-Fi|Thriller,android|artificial intelligence|home invasion|security system|tech noir,English,USA,,100000,2013,1.78
M2442,CS2541,Getaway ,90,Courtney Solomon,Color,Action|Crime|Thriller,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,English,USA,PG-13,18000000,2013,2.35
M204,CS303,R.I.P.D. ,96,Robert Schwentke,Color,Action|Comedy|Fantasy,drug dealer|gold|partner|police|undead,English,USA,PG-13,130000000,2013,2.35
M198,CS297,After Earth ,100,M. Night Shyamalan,Color,Action|Adventure|Sci-Fi,box office flop|father son team|fear|race against time|real life father and son playing father and son,English,USA,PG-13,130000000,2013,2.35
M033,CS132,Iron Man 3 ,195,Shane Black,Color,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,English,USA,PG-13,200000000,2013,2.35
M771,CS870,Gangster Squad ,113,Ruben Fleischer,Color,Action|Crime|Drama|Thriller,good versus evil|machine gun|mobster|police vigilantism|year 1949,English,USA,R,60000000,2013,2.35
M1479,CS1578,Parker ,118,Taylor Hackford,Color,Action|Crime|Romance|Thriller,action hero|disguise|hospital|real estate agent|thief,English,USA,R,35000000,2013,2.35
M2633,CS2732,Snitch ,112,Ric Roman Waugh,Color,Action|Drama|Thriller,cigarette smoking|dea|drugs|inspired by true events|undercover,English,USA,PG-13,15000000,2013,2.35
M447,CS546,RED 2 ,116,Dean Parisot,Color,Action|Comedy|Crime|Thriller,cia|cia agent|rescue|russian|team,English,USA,PG-13,84000000,2013,2.35
M169,CS268,G.I. Joe: Retaliation ,122,Jon M. Chu,Color,Action|Adventure|Sci-Fi|Thriller,general|gi joe|martial arts|ninja|president,English,USA,PG-13,130000000,2013,2.35
M3347,CS3446,All Is Lost ,106,J.C. Chandor,Color,Action|Adventure|Drama,boat|container|sea|shipping container|storm,English,USA,PG-13,9000000,2013,2.35
M1361,CS1460,Riddick ,127,David Twohy,Color,Action|Sci-Fi|Thriller,alien|left for dead|mercenary|survival|vomiting,English,USA,R,38000000,2013,2.35
M1003,CS1102,The Host ,125,Andrew Niccol,Color,Action|Adventure|Romance|Sci-Fi|Thriller,alien|alien creature|body snatching|desert|parasite,English,USA,PG-13,40000000,2013,2.35
M143,CS242,White House Down ,131,Roland Emmerich,Color,Action|Drama|Thriller,black u.s. president|president|secret service|tour|white house,English,USA,PG-13,150000000,2013,2.35
M016,CS115,Man of Steel ,143,Zack Snyder,Color,Action|Adventure|Fantasy|Sci-Fi,based on comic book|british actor playing american character|final battle|origin of hero|reboot,English,USA,PG-13,225000000,2013,2.35
M128,CS227,Thor: The Dark World ,112,Alan Taylor,Color,Action|Adventure|Fantasy,arrest|portal|thor|warrior|weapon,English,USA,PG-13,170000000,2013,2.35
M4018,CS4117,"Batman: The Dark Knight Returns, Part 2 ",148,Jay Oliva,Color,Action|Animation|Crime|Sci-Fi|Thriller,batman|joker|mutant|tattoo on breast|the joker,English,USA,PG-13,3500000,2013,
M086,CS185,47 Ronin ,128,Carl Rinsch,Color,Action|Adventure|Drama|Fantasy,box office flop|ronin|samurai|shogun|tournament,English,USA,PG-13,175000000,2013,2.35
