cast_set_num,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
CS209,Alan Taylor,230,J.K. Simmons,24000,Emilia Clarke,10000,Matt Smith,2000,38873
CS210,Michael Apted,150,Bruce Spence,531,Shane Rangi,82,Laura Brent,59,764
CS211,Michael Bay,0,Jennifer Garner,3000,Jaime King,961,Mako,691,5401
CS212,Michael Bay,0,Zack Ward,662,Michael O'Neill,599,Kevin Dunn,581,2333
CS213,Oliver Stone,0,Anthony Hopkins,12000,Angelina Jolie Pitt,11000,Brian Blessed,591,24598
CS214,David Yates,282,Robert Pattinson,21000,Daniel Radcliffe,11000,Fiona Shaw,687,33433
CS215,Mike Newell,179,Robert Pattinson,21000,Daniel Radcliffe,11000,Rupert Grint,10000,53413
CS216,Peter Berg,532,Will Smith,10000,Charlize Theron,9000,Eddie Marsan,979,21584
CS217,Francis Lawrence,508,Will Smith,10000,Alice Braga,1000,Willow Smith,558,13076
CS218,Tim Burton,13000,Johnny Depp,40000,Christopher Lee,16000,David Kelly,588,57844
CS219,Brad Bird,663,Janeane Garofalo,1000,John Ratzenberger,1000,Brian Dennehy,954,4764
CS220,Christopher Nolan,22000,Christian Bale,23000,Liam Neeson,14000,Morgan Freeman,11000,59558
CS221,Eric Darnell,35,Bernie Mac,1000,Jada Pinkett Smith,851,Cedric the Entertainer,436,3285
CS222,Shawn Levy,189,Robin Williams,49000,Rami Malek,3000,Steve Coogan,1000,54039
CS223,Gavin Hood,151,Hugh Jackman,20000,Ryan Reynolds,16000,Dominic Monaghan,2000,40054
CS224,Lana Wachowski,0,Essie Davis,309,Collin Chou,269,Nona Gaye,233,1062
CS225,Chris Buck,69,Josh Gad,1000,Maurice LaMarche,523,Livvy Stubenrauch,490,2582
CS226,Lana Wachowski,0,Steve Bastoni,234,Daniel Bernhardt,198,Helmut Bakaitis,30,534
CS227,Alan Taylor,230,Chris Hemsworth,26000,Natalie Portman,20000,Anthony Hopkins,12000,59803
CS228,George Miller,750,Tom Hardy,27000,Charlize Theron,9000,Zoë Kravitz,943,40025
CS229,Ron Howard,2000,Tom Hanks,15000,Ayelet Zurer,745,Armin Mueller-Stahl,294,16948
CS230,Kenneth Branagh,0,Chris Hemsworth,26000,Natalie Portman,20000,Anthony Hopkins,12000,60059
CS231,Byron Howard,59,Chloë Grace Moretz,17000,Diedrich Bader,759,James Lipton,699,20007
CS232,Hoyt Yeatman,12,Kelli Garner,730,Piper Mackenzie Harris,607,Niecy Nash,182,2217
CS233,Jonathan Liebesman,473,Liam Neeson,14000,Edgar Ramírez,897,Lily James,502,16184
CS234,Tim Burton,13000,Johnny Depp,40000,Chloë Grace Moretz,17000,Christopher Lee,16000,80849
CS235,Christopher McQuarrie,188,Tom Cruise,10000,Jeremy Renner,10000,Sean Harris,641,21840
CS236,Joe Johnston,394,Anthony Hopkins,12000,Simon Merrells,490,Art Malik,162,13071
CS237,David Yates,282,Christoph Waltz,11000,Alexander Skarsgård,10000,Casper Crump,103,21175
CS238,Steve Hickner,58,Matthew Broderick,2000,Oprah Winfrey,852,Rip Torn,826,6576
CS239,Jennifer Yuh Nelson,90,Angelina Jolie Pitt,11000,Gary Oldman,10000,Mike Bell,15,21015
CS240,M. Night Shyamalan,0,Seychelle Gabriel,1000,Noah Ringer,756,Aasif Mandvi,346,2857
CS241,J.J. Abrams,14000,Philip Seymour Hoffman,22000,Tom Cruise,10000,Eddie Marsan,979,34817
CS242,Roland Emmerich,776,Channing Tatum,17000,Jake Weber,551,Matt Craven,256,18204
CS243,Simon Wells,25,Elisabeth Harnois,921,Dan Fogler,562,Tom Everett Scott,433,2652
CS244,David Bowers,42,Hugh Jackman,20000,Kate Winslet,14000,David Suchet,586,35161
CS245,Joe Wright,456,Hugh Jackman,20000,Cara Delevingne,548,Nonso Anozie,394,21393
CS246,Rob Minkoff,50,Ty Burrell,3000,Zach Callison,1000,Karan Brar,517,5810
CS247,Wolfgang Petersen,249,Brad Pitt,11000,Orlando Bloom,5000,Julian Glover,844,17944
CS248,Eric Darnell,35,Jada Pinkett Smith,851,Martin Short,770,Cedric the Entertainer,436,2444
CS249,Lee Tamahori,93,Toby Stephens,769,Colin Salmon,766,Rick Yune,746,2538
CS250,Paul Feig,176,Ed Begley Jr.,783,Kate McKinnon,370,Zach Woods,322,2097
CS251,Michael Bay,0,Bruce Willis,13000,Steve Buscemi,12000,Will Patton,537,26029
CS252,Barry Sonnenfeld,188,Will Smith,10000,Rosario Dawson,3000,Rip Torn,826,14823
CS253,Robert Zemeckis,0,Robin Wright,18000,Anthony Hopkins,12000,Sebastian Roché,964,31523
CS254,Alessandro Carloni,5,J.K. Simmons,24000,Angelina Jolie Pitt,11000,Wayne Knight,967,36095
CS255,Brad Bird,663,Tom Cruise,10000,Jeremy Renner,10000,Michael Nyqvist,690,21768
CS256,Peter Ramsey,52,Hugh Jackman,20000,Kamil McFadden,315,Khamani Griffin,161,20645
CS257,Dean Parisot,23,John Michael Higgins,957,Richard Burgi,550,David Herman,233,1997
CS258,Edward Zwick,380,Tom Cruise,10000,Tony Goldwyn,956,Chad Lindberg,445,11945
CS259,Ridley Scott,0,Christian Bale,23000,María Valverde,893,Ben Mendelsohn,748,26490
CS260,J.J. Abrams,14000,Chris Hemsworth,26000,Leonard Nimoy,12000,Bruce Greenwood,981,39284
CS261,Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,40484
CS262,Dean DeBlois,255,Gerard Butler,18000,Djimon Hounsou,3000,America Ferrera,953,23378
CS263,Alex Proyas,295,Gerard Butler,18000,Elodie Yung,934,Bryan Brown,284,19769
CS264,Rob Cohen,357,Sam Shepard,820,Joe Morton,780,Richard Roxburgh,653,2705
CS265,Zack Snyder,0,Matt Frewer,986,Billy Crudup,745,Stephen McHattie,413,2530
CS266,Richard Donner,503,Jet Li,5000,Rene Russo,808,Darlene Love,91,6171
CS267,Ang Lee,0,Kevin Rankin,820,Regi Davis,300,Celia Weston,258,1814
CS268,Jon M. Chu,209,Channing Tatum,17000,Dwayne Johnson,12000,Elodie Yung,934,31958
CS269,Breck Eisner,42,Matthew McConaughey,11000,Rainn Wilson,973,Delroy Lindo,848,13073
CS270,Hironobu Sakaguchi,6,Steve Buscemi,12000,Ming-Na Wen,2000,Jean Simmons,422,15015
CS271,Joe Johnston,394,Chris Evans,11000,Dominic Cooper,3000,Hayley Atwell,2000,19761
CS272,Michael Apted,150,Colin Salmon,766,Maria Grazia Cucinotta,536,Desmond Llewelyn,244,2037
CS273,Peter Weir,608,James D'Arcy,613,Lee Ingleby,172,David Threlfall,168,1205
CS274,Bill Condon,386,Robert Pattinson,21000,Kristen Stewart,17000,Taylor Lautner,12000,59177
CS275,George Miller,750,Robin Williams,49000,Brad Pitt,11000,Common,988,62644
CS276,Louis Leterrier,255,Ty Burrell,3000,Peter Mensah,1000,William Hurt,882,5811
CS277,,,Don Johnson,982,Philip Michael Thomas,321,John Diehl,184,1687
CS278,Steven Spielberg,14000,Mark Rylance,535,Penelope Wilton,400,Rafe Spall,358,1950
CS279,Alejandro G. Iñárritu,0,Leonardo DiCaprio,29000,Tom Hardy,27000,Lukas Haas,733,57108
CS280,David Soren,13,Ryan Reynolds,16000,Snoop Dogg,881,Ben Schwartz,463,17416
CS281,Gore Verbinski,563,Johnny Depp,40000,Ray Winstone,1000,Stephen Root,939,43291
CS282,Eric Darnell,35,Benedict Cumberbatch,19000,Annet Mahendru,411,Andy Richter,179,19963
CS283,Paul Greengrass,521,Matt Damon,13000,Edgar Ramírez,897,Albert Finney,883,17369
CS284,Mark Osborne,54,Angelina Jolie Pitt,11000,Wayne Knight,967,Dan Fogler,562,12754
CS285,Peyton Reed,235,Judy Greer,2000,Hayley Atwell,2000,T.I.,680,5730
CS286,Francis Lawrence,508,Jennifer Lawrence,34000,Josh Hutcherson,14000,Sandra Ellis Lafferty,523,49355
CS287,Bill Condon,386,Robert Pattinson,21000,Kristen Stewart,17000,Taylor Lautner,12000,59177
CS288,Tim Johnson,12,Jim Parsons,17000,Matt Jones,523,April Winchell,183,17883
CS289,Steven Spielberg,14000,Tom Cruise,10000,Lisa Ann Walter,1000,Rick Gonzalez,807,12758
CS290,Michael Bay,0,Will Smith,10000,Henry Rollins,898,Jordi Mollà,877,12954
CS291,Chris Miller,50,Salma Hayek,4000,Constance Marie,442,Amy Sedaris,397,5046
CS292,Phillip Noyce,176,Angelina Jolie Pitt,11000,Andre Braugher,702,August Diehl,282,12406
CS293,Darren Aronofsky,0,Anthony Hopkins,12000,Emma Watson,9000,Logan Lerman,8000,32355
CS294,Steven Spielberg,14000,Toby Jones,2000,Mackenzie Crook,871,Tony Curran,845,4631
CS295,Alfonso Cuarón,0,Daniel Radcliffe,11000,Gary Oldman,10000,Rupert Grint,10000,33284
CS296,Baz Luhrmann,1000,Essie Davis,309,Bryan Brown,284,Eddie Baroo,165,921
CS297,M. Night Shyamalan,0,Will Smith,10000,Zoë Kravitz,943,Glenn Morshower,894,14168
CS298,Eric Leighton,0,Alfre Woodard,1000,D.B. Sweeney,558,Della Reese,388,2945
CS299,Matt Birch,0,Rupert Grint,10000,Dave Legeno,570,Ralph Ineson,159,11036
CS300,Shawn Levy,189,Robin Williams,49000,Rami Malek,3000,Steve Coogan,1000,53587
CS301,Tom McGrath,96,J.K. Simmons,24000,Brad Pitt,11000,Will Ferrell,8000,46120
CS302,Chris Columbus,0,Daniel Radcliffe,11000,Fiona Shaw,687,Verne Troyer,645,13191
CS303,Robert Schwentke,124,Ryan Reynolds,16000,Jeff Bridges,12000,Stephanie Szostak,1000,31549
CS304,Hideaki Anno,28,Mark Chinnery,544,Shin'ya Tsukamoto,106,Atsuko Maeda,12,699
CS305,Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,48184
CS306,Matt Birch,0,Rupert Grint,10000,Toby Jones,2000,Alfred Enoch,1000,14719
CS307,Francis Lawrence,508,Jennifer Lawrence,34000,Philip Seymour Hoffman,22000,Josh Hutcherson,14000,81385
CS308,Ron Howard,2000,Tom Hanks,15000,Seth Gabel,574,Jürgen Prochnow,362,16008
CS309,Carlos Saldanha,107,Miguel Ferrer,688,Rachel Crow,237,Jeffrey Garcia,56,1031
CS310,Bryan Singer,0,Hugh Jackman,20000,Bruce Davison,505,Aaron Stanford,346,20952
CS311,Justin Lin,681,Paul Walker,23000,Vin Diesel,14000,Dwayne Johnson,12000,55345
CS312,Guy Ritchie,0,Robert Downey Jr.,21000,Eddie Marsan,979,Paul Anderson,154,22403
CS313,Louis Leterrier,255,Liam Neeson,14000,Jason Flemyng,1000,Alexa Davalos,850,18003
CS314,Paul Verhoeven,719,Ronny Cox,605,Rachel Ticotin,308,Marshall Bell,217,1441
CS315,John McTiernan,323,Tony Curran,845,Vladimir Kulich,372,Clive Russell,241,1815
CS316,Tony Gilroy,209,Jeremy Renner,10000,Scott Glenn,826,Stacy Keach,602,12175
CS317,Joel Schumacher,541,Michael Gough,920,Vivica A. Fox,890,John Glover,409,2699
CS318,Ron Howard,2000,Clint Howard,1000,T.J. Thyne,722,Molly Shannon,636,4146
CS319,Roland Emmerich,776,Jake Gyllenhaal,15000,Dennis Quaid,2000,Sela Ward,812,20553
CS320,John Woo,610,Tom Cruise,10000,Dougray Scott,794,Richard Roxburgh,653,11930
CS321,Wolfgang Petersen,249,Karen Allen,784,Mary Elizabeth Mastrantonio,638,Bob Gunton,461,2684
CS322,Tim Story,167,Chris Evans,11000,Ioan Gruffudd,2000,Andre Braugher,702,15302
CS323,Ang Lee,0,Suraj Sharma,774,Rafe Spall,358,Tabu,341,2121
CS324,Mark Steven Johnson,160,Nicolas Cage,12000,Matt Long,701,Peter Fonda,402,14017
CS325,Paul Greengrass,521,Matt Damon,13000,Riz Ahmed,365,Ato Essandoh,265,13752
CS326,McG,368,Demi Moore,2000,Bernie Mac,1000,Justin Theroux,1000,4046
CS327,Ridley Scott,0,Michael Fassbender,13000,Charlize Theron,9000,Sean Harris,641,24098
CS328,Rob Minkoff,50,Nathan Lane,886,Brad Garrett,799,Melanie Griffith,537,2682
CS329,Neill Blomkamp,662,Matt Damon,13000,Sharlto Copley,2000,Alice Braga,1000,17689
CS330,David Twohy,123,Vin Diesel,14000,Alexa Davalos,850,Christina Cox,567,17159
CS331,José Padilha,294,Gary Oldman,10000,Abbie Cornish,2000,Jennifer Ehle,1000,14161
CS332,Lana Wachowski,0,Scott Porter,690,Kick Gurry,107,Nicholas Elia,87,902
CS333,James L. Brooks,274,Shelley Conn,273,Domenick Lombardozzi,216,Teyonah Parris,157,993
CS334,James Mangold,446,Tom Cruise,10000,Marc Blucas,973,Jordi Mollà,877,12731
CS335,Joseph Kosinski,364,Morgan Freeman,11000,Tom Cruise,10000,Zoë Bell,1000,22004
CS336,George Lucas,0,Natalie Portman,20000,Christopher Lee,16000,Hayden Christensen,4000,44042
CS337,George Lucas,0,Natalie Portman,20000,Christopher Lee,16000,Hayden Christensen,4000,42990
CS338,Pete Docter,0,Steve Buscemi,12000,John Ratzenberger,1000,James Coburn,773,15013
CS339,James Mangold,446,Hugh Jackman,20000,Tao Okamoto,992,Rila Fukushima,929,23755
CS340,George Lucas,0,Natalie Portman,20000,Liam Neeson,14000,Ian McDiarmid,1000,37723
CS341,Kirk De Micco,16,Ryan Reynolds,16000,Emma Stone,15000,Nicolas Cage,12000,43286
CS342,Frédéric Forestier,0,Alain Delon,936,Santiago Segura,276,Vanessa Hessler,141,1609
CS343,John Woo,610,Nicolas Cage,12000,Roger Willie,836,Noah Emmerich,617,15046
CS344,Cedric Nicolas-Troyan,19,Chris Hemsworth,26000,Sam Claflin,11000,Charlize Theron,9000,46719
CS345,Jonathan Liebesman,473,Noel Fisher,833,Danny Woodburn,809,Jeremy Howard,429,2690
CS346,Alfonso Cuarón,0,Phaldut Sharma,39,Basher Savage,23,Amy Warren,13,87
CS347,Roger Donaldson,79,Jamie Renée Smith,650,Grant Heslov,293,Tzi Ma,268,1569
CS348,Dave Green,13,Stephen Amell,5000,Noel Fisher,833,Brad Garrett,799,8306
CS349,Josh Trank,128,Tim Blake Nelson,596,Reg E. Cathey,360,Tim Heidecker,78,1261
CS350,Shawn Levy,189,Robin Williams,49000,Rami Malek,3000,Steve Coogan,1000,55486
CS351,Brad Peyton,62,Dwayne Johnson,12000,Ioan Gruffudd,2000,Archie Panjabi,884,16718
CS352,Roger Spottiswoode,55,Vincent Schiavelli,811,Colin Salmon,766,Joe Don Baker,387,2958
CS353,Roland Emmerich,776,Heath Ledger,13000,Adam Baldwin,2000,Tom Wilkinson,1000,19454
CS354,Steven Soderbergh,0,Brad Pitt,11000,Julia Roberts,8000,Mini Anden,350,19359
CS355,Doug Liman,218,Brad Pitt,11000,Angelina Jolie Pitt,11000,Stephanie March,322,22722
CS356,Robert Schwentke,124,Kate Winslet,14000,Theo James,5000,Mekhi Phifer,1000,22622
CS357,Martin Scorsese,17000,Leonardo DiCaprio,29000,Adam Scott,3000,Frances Conroy,827,34582
CS358,Rob Letterman,11,James Corden,480,Catherine Tate,392,Olly Alexander,116,1173
CS359,Michel Gondry,1000,Christoph Waltz,11000,Tom Wilkinson,1000,Chad L. Coleman,741,13391
CS360,,,George Peppard,669,Dirk Benedict,554,Dwight Schultz,432,1655
CS361,Noam Murro,263,Eva Green,6000,Sullivan Stapleton,1000,Peter Mensah,1000,10583
CS362,Raja Gosnell,67,Mahadeo Shivraj,383,Tim Gunn,113,Madison McKinley,111,692
CS363,Will Finn,6,Steve Buscemi,12000,Roseanne Barr,513,G.W. Bailey,421,13607
CS364,Robert Schwentke,124,Naomi Watts,6000,Theo James,5000,Zoë Kravitz,943,12452
CS365,Shawn Levy,189,Hugh Jackman,20000,Torey Michael Adkins,929,Olga Fonda,544,22254
CS366,Raja Gosnell,67,Jacob Tremblay,681,Nancy O'Dell,71,Vanessa Matsui,40,914
CS367,Jan de Bont,101,Jason Patric,673,Temuera Morrison,368,Lois Chiles,202,2027
CS368,Gavin Hood,151,Harrison Ford,11000,Moises Arias,635,Aramis Knight,430,12908
CS369,Len Wiseman,235,Bruce Willis,13000,Jonathan Sadowski,300,Cyril Raffaelli,297,13961
