movie_id,budget,gross,movie_title,duration,director_name,genres,country,content_rating,title_year,cast_set_num,actor_1_name
M206,140000000,305388685,Pirates of the Caribbean: The Curse of the Black Pearl ,143,Gore Verbinski,Action|Adventure|Fantasy,USA,PG-13,2003,CS305,Johnny Depp
M031,200000000,304360277,Skyfall ,143,Sam Mendes,Action|Adventure|Thriller,UK,PG-13,2012,CS130,Albert Finney
M3494,200000000,304360277,Skyfall ,143,Sam Mendes,Action|Adventure|Thriller,UK,PG-13,2012,CS3593,Albert Finney
M100,180000000,303001229,The Hobbit: An Unexpected Journey ,182,Peter Jackson,Adventure|Fantasy,USA,PG-13,2012,CS199,Aidan Turner
M010,250000000,301956980,Harry Potter and the Half-Blood Prince ,153,David Yates,Adventure|Family|Fantasy|Mystery,UK,PG,2009,CS109,Alan Rickman
M632,68000000,300523113,The Twilight Saga: Eclipse ,124,David Slade,Adventure|Drama|Fantasy|Romance,USA,PG-13,2010,CS731,Robert Pattinson
M927,50000000,296623634,The Twilight Saga: New Moon ,130,Chris Weitz,Adventure|Drama|Fantasy|Romance,USA,PG-13,2009,CS1026,Robert Pattinson
M1182,40000000,293501675,The Sixth Sense ,107,M. Night Shyamalan,Drama|Mystery|Thriller,USA,PG-13,1999,CS1281,Bruce Willis
M068,175000000,292979556,Up ,96,Pete Docter,Adventure|Animation|Comedy|Family,USA,PG,2009,CS167,John Ratzenberger
M098,160000000,292568851,Inception ,148,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,USA,PG-13,2010,CS197,Leonardo DiCaprio
M188,120000000,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,115,Bill Condon,Adventure|Drama|Fantasy|Romance,USA,PG-13,2012,CS287,Robert Pattinson
M175,120000000,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,115,Bill Condon,Adventure|Drama|Fantasy|Romance,USA,PG-13,2012,CS274,Robert Pattinson
M115,150000000,292000866,Harry Potter and the Order of the Phoenix ,138,David Yates,Adventure|Family|Fantasy|Mystery,UK,PG-13,2007,CS214,Robert Pattinson
M065,180000000,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150,Andrew Adamson,Adventure|Family|Fantasy,USA,PG,2005,CS164,Jim Broadbent
M016,225000000,291021565,Man of Steel ,143,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,USA,PG-13,2013,CS115,Henry Cavill
M2052,18000000,290158751,Star Wars: Episode V - The Empire Strikes Back ,127,Irvin Kershner,Action|Adventure|Fantasy|Sci-Fi,USA,PG,1980,CS2151,Harrison Ford
M116,150000000,289994397,Harry Potter and the Goblet of Fire ,157,Mike Newell,Adventure|Family|Fantasy|Mystery,UK,PG-13,2005,CS215,Robert Pattinson
M239,115000000,289907418,"Monsters, Inc. ",92,Pete Docter,Adventure|Animation|Comedy|Family|Fantasy,USA,G,2001,CS338,Steve Buscemi
M2602,18000000,285761243,Home Alone ,103,Chris Columbus,Comedy|Family,USA,PG,1990,CS2701,Macaulay Culkin
M104,160000000,281666058,The Hunger Games: Mockingjay - Part 2 ,137,Francis Lawrence,Adventure|Sci-Fi,USA,PG-13,2015,CS203,Jennifer Lawrence
M127,150000000,281492479,The Matrix Reloaded ,138,Lana Wachowski,Action|Sci-Fi,USA,R,2003,CS226,Steve Bastoni
M711,80000000,279167575,Meet the Fockers ,106,Jay Roach,Comedy|Romance,USA,PG-13,2004,CS810,Robert De Niro
M1398,35000000,277313371,The Hangover ,108,Todd Phillips,Comedy,USA,R,2009,CS1497,Bradley Cooper
M247,100000000,274084951,Gravity ,91,Alfonso Cuarón,Adventure|Drama|Sci-Fi|Thriller,UK,PG-13,2013,CS346,Phaldut Sharma
M036,200000000,268488329,Monsters University ,104,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,USA,G,2013,CS135,Steve Buscemi
M928,60000000,267652016,Shrek ,90,Andrew Adamson,Adventure|Animation|Comedy|Family|Fantasy,USA,PG,2001,CS1027,Kathleen Freeman
M022,230000000,262030663,The Amazing Spider-Man ,153,Marc Webb,Action|Adventure|Fantasy,USA,PG-13,2012,CS121,Emma Stone
M286,100000000,261970615,Harry Potter and the Chamber of Secrets ,174,Chris Columbus,Adventure|Family|Fantasy|Mystery,UK,PG,2002,CS385,Daniel Radcliffe
M350,92000000,261437578,The Incredibles ,115,Brad Bird,Action|Adventure|Animation|Family,USA,PG,2004,CS449,Holly Hunter
M219,123000000,260031035,How the Grinch Stole Christmas ,110,Ron Howard,Comedy|Family|Fantasy,USA,PG,2000,CS318,Clint Howard
M2918,8000000,260000000,Jaws ,130,Steven Spielberg,Adventure|Drama|Thriller,USA,PG,1975,CS3017,Roy Scheider
M087,170000000,259746958,Captain America: The Winter Soldier ,136,Anthony Russo,Action|Adventure|Sci-Fi,USA,PG-13,2014,CS186,Scarlett Johansson
M024,225000000,258355354,The Hobbit: The Desolation of Smaug ,186,Peter Jackson,Adventure|Fantasy,USA,PG-13,2013,CS123,Aidan Turner
M768,60000000,257756197,The Lego Movie ,100,Phil Lord,Action|Adventure|Animation|Comedy|Family|Fantasy,Australia,PG,2014,CS867,Morgan Freeman
M161,150000000,257704099,Star Trek ,127,J.J. Abrams,Action|Adventure|Sci-Fi,USA,PG-13,2009,CS260,Chris Hemsworth
M118,150000000,256386216,I Am Legend ,104,Francis Lawrence,Drama|Horror|Sci-Fi,USA,PG-13,2007,CS217,Will Smith
M1404,29000000,255950375,The Blind Side ,129,John Lee Hancock,Biography|Drama|Sport,USA,PG-13,2009,CS1503,Catherine Dyer
M021,250000000,255108370,The Hobbit: The Battle of the Five Armies ,164,Peter Jackson,Adventure|Fantasy,New Zealand,PG-13,2014,CS120,Aidan Turner
M441,80000000,254455986,The Hangover Part II ,102,Todd Phillips,Comedy,USA,R,2011,CS540,Bradley Cooper
M634,69000000,251501645,Despicable Me ,87,Pierre Coffin,Animation|Comedy|Family,USA,PG,2010,CS733,Steve Carell
M1401,35000000,251188924,Batman ,126,Tim Burton,Action|Adventure,USA,PG-13,1989,CS1500,Michael Gough
M251,110000000,250863268,Night at the Museum ,108,Shawn Levy,Action|Adventure|Comedy|Family|Fantasy,USA,PG,2006,CS350,Robin Williams
M353,90000000,250147615,Men in Black ,98,Barry Sonnenfeld,Adventure|Comedy|Family|Mystery|Sci-Fi,USA,PG-13,1997,CS452,Will Smith
