movie_id,cast_set_num,movie_title,director_name,genres,country,title_year,imdb_score,movie_imdb_link
M046,CS145,Furious 7 ,James Wan,Action|Crime|Thriller,USA,2015,7.2,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1
M270,CS369,Live Free or Die Hard ,Len Wiseman,Action|Adventure|Thriller,USA,2007,7.2,http://www.imdb.com/title/tt0337978/?ref_=fn_tt_tt_1
M155,CS254,Kung Fu Panda 3 ,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,USA,2016,7.2,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1
M765,CS864,Shooter ,Antoine Fuqua,Action|Crime|Drama|Mystery|Thriller,USA,2007,7.2,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1
M128,CS227,Thor: The Dark World ,Alan Taylor,Action|Adventure|Fantasy,USA,2013,7.1,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1
M266,CS365,Real Steel ,Shawn Levy,Action|Drama|Sci-Fi|Sport,USA,2011,7.1,http://www.imdb.com/title/tt0433035/?ref_=fn_tt_tt_1
M571,CS670,The Kingdom ,Peter Berg,Action|Drama|Thriller,USA,2007,7.1,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1
M2161,CS2260,Jackass 3D ,Jeff Tremaine,Action|Comedy|Documentary,USA,2010,7.1,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1
M1668,CS1767,9 ,Shane Acker,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,USA,2009,7.1,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1
M734,CS833,RED ,Robert Schwentke,Action|Comedy|Crime|Thriller,USA,2010,7.1,http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1
M4936,CS5035,Heroes of Dirt ,Eric Bugbee,Action|Drama|Sport,USA,2015,7.1,http://www.imdb.com/title/tt1934172/?ref_=fn_tt_tt_1
M002,CS101,Pirates of the Caribbean: At World's End ,Gore Verbinski,Action|Adventure|Fantasy,USA,2007,7.1,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
M940,CS1039,22 Jump Street ,Phil Lord,Action|Comedy|Crime,USA,2014,7.1,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1
M113,CS212,Transformers ,Michael Bay,Action|Adventure|Sci-Fi,USA,2007,7.1,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1
M642,CS741,Body of Lies ,Ridley Scott,Action|Drama|Thriller,USA,2008,7.1,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1
M047,CS146,World War Z ,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,USA,2013,7,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1
M321,CS420,In the Heart of the Sea ,Ron Howard,Action|Adventure|Biography|Drama|History|Thriller,USA,2015,7,http://www.imdb.com/title/tt1390411/?ref_=fn_tt_tt_1
M2317,CS2416,A Most Violent Year ,J.C. Chandor,Action|Crime|Drama|Thriller,USA,2014,7,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1
M313,CS412,Legend of the Guardians: The Owls of Ga'Hoole ,Zack Snyder,Action|Adventure|Animation|Family|Fantasy,USA,2010,7,http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1
M022,CS121,The Amazing Spider-Man ,Marc Webb,Action|Adventure|Fantasy,USA,2012,7,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
M030,CS129,Jurassic World ,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,USA,2015,7,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
M4877,CS4976,Ink ,Jamin Winans,Action|Drama|Fantasy|Sci-Fi,USA,2009,7,http://www.imdb.com/title/tt1071804/?ref_=fn_tt_tt_1
M053,CS152,Pacific Rim ,Guillermo del Toro,Action|Adventure|Sci-Fi,USA,2013,7,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1
M081,CS180,Iron Man 2 ,Jon Favreau,Action|Adventure|Sci-Fi,USA,2010,7,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1
M083,CS182,Maleficent ,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,USA,2014,7,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1
M740,CS839,Jack Reacher ,Christopher McQuarrie,Action|Crime|Mystery|Thriller,USA,2012,7,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1
M4447,CS4546,Jack Reacher ,Christopher McQuarrie,Action|Crime|Mystery|Thriller,USA,2012,7,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1
M1839,CS1938,Pineapple Express ,David Gordon Green,Action|Comedy|Crime,USA,2008,7,http://www.imdb.com/title/tt0910936/?ref_=fn_tt_tt_1
M131,CS230,Thor ,Kenneth Branagh,Action|Adventure|Fantasy,USA,2011,7,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1
M1883,CS1982,Cloverfield ,Matt Reeves,Action|Adventure|Horror|Sci-Fi,USA,2008,7,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1
M434,CS533,Hellboy II: The Golden Army ,Guillermo del Toro,Action|Adventure|Fantasy|Horror|Sci-Fi,USA,2008,7,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1
M236,CS335,Oblivion ,Joseph Kosinski,Action|Adventure|Mystery|Sci-Fi,USA,2013,7,http://www.imdb.com/title/tt1483013/?ref_=fn_tt_tt_1
M364,CS463,Tropic Thunder ,Ben Stiller,Action|Comedy,USA,2008,7,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1
M359,CS458,Ice Age: Dawn of the Dinosaurs ,Carlos Saldanha,Action|Adventure|Animation|Comedy|Family,USA,2009,7,http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1
M011,CS110,Batman v Superman: Dawn of Justice ,Zack Snyder,Action|Adventure|Sci-Fi,USA,2016,6.9,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
M4677,CS4776,Aqua Teen Hunger Force Colon Movie Film for Theaters ,Matt Maiellaro,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,USA,2007,6.9,http://www.imdb.com/title/tt0455326/?ref_=fn_tt_tt_1
M464,CS563,The Book of Eli ,Albert Hughes,Action|Adventure|Drama|Thriller,USA,2010,6.9,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1
M1042,CS1141,Chappie ,Neill Blomkamp,Action|Crime|Drama|Sci-Fi|Thriller,USA,2015,6.9,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1
M074,CS173,Suicide Squad ,David Ayer,Action|Adventure|Comedy|Sci-Fi,USA,2016,6.9,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1
M172,CS271,Captain America: The First Avenger ,Joe Johnston,Action|Adventure|Sci-Fi,USA,2011,6.9,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1
M3347,CS3446,All Is Lost ,J.C. Chandor,Action|Adventure|Drama,USA,2013,6.9,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1
M381,CS480,Now You See Me 2 ,Jon M. Chu,Action|Adventure|Comedy|Crime|Mystery|Thriller,USA,2016,6.9,http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1
M406,CS505,Safe House ,Daniel Espinosa,Action|Crime|Mystery|Thriller,USA,2012,6.8,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1
M2294,CS2393,Death Sentence ,James Wan,Action|Crime|Thriller,USA,2007,6.8,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1
M020,CS119,Men in Black 3 ,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,USA,2012,6.8,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
M355,CS454,Unstoppable ,Tony Scott,Action|Thriller,USA,2010,6.8,http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1
M177,CS276,The Incredible Hulk ,Louis Leterrier,Action|Adventure|Sci-Fi,USA,2008,6.8,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1
M3751,CS3850,No Escape ,John Erick Dowdle,Action|Thriller,USA,2015,6.8,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1
M641,CS740,The Finest Hours ,Craig Gillespie,Action|Drama|History|Thriller,USA,2016,6.8,http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1
M1901,CS2000,The Grey ,Joe Carnahan,Action|Adventure|Drama|Thriller,USA,2011,6.8,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1
M1727,CS1826,Machine Gun Preacher ,Marc Forster,Action|Biography|Crime|Drama,USA,2011,6.8,http://www.imdb.com/title/tt1586752/?ref_=fn_tt_tt_1
M2500,CS2599,TRON: Legacy ,Joseph Kosinski,Action|Adventure|Sci-Fi,USA,2010,6.8,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
M2226,CS2325,Street Kings ,David Ayer,Action|Crime|Drama|Thriller,USA,2008,6.8,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1
M1659,CS1758,Hanna ,Joe Wright,Action|Drama|Thriller,USA,2011,6.8,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1
M041,CS140,TRON: Legacy ,Joseph Kosinski,Action|Adventure|Sci-Fi,USA,2010,6.8,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
M4777,CS4876,Born to Fly: Elizabeth Streb vs. Gravity ,Catherine Gund,Action|Biography|Documentary|Sport,USA,2014,6.8,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1
M1512,CS1611,The Maze Runner ,Wes Ball,Action|Mystery|Sci-Fi|Thriller,USA,2014,6.8,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1
M1442,CS1541,In Time ,Andrew Niccol,Action|Sci-Fi|Thriller,USA,2011,6.7,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1
M019,CS118,Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,Action|Adventure|Fantasy,USA,2011,6.7,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
M023,CS122,Robin Hood ,Ridley Scott,Action|Adventure|Drama|History,USA,2010,6.7,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
M040,CS139,The Amazing Spider-Man 2 ,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,USA,2014,6.7,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1
M122,CS221,Madagascar: Escape 2 Africa ,Eric Darnell,Action|Adventure|Animation|Comedy|Family,USA,2008,6.7,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1
M124,CS223,X-Men Origins: Wolverine ,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,USA,2009,6.7,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1
M192,CS291,Puss in Boots ,Chris Miller,Action|Adventure|Animation|Comedy|Family|Fantasy,USA,2011,6.7,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1
M217,CS316,The Bourne Legacy ,Tony Gilroy,Action|Adventure|Thriller,USA,2012,6.7,http://www.imdb.com/title/tt1194173/?ref_=fn_tt_tt_1
M2912,CS3011,Machete ,Ethan Maniquis,Action|Crime|Thriller,USA,2010,6.7,http://www.imdb.com/title/tt0985694/?ref_=fn_tt_tt_1
M240,CS339,The Wolverine ,James Mangold,Action|Adventure|Sci-Fi|Thriller,USA,2013,6.7,http://www.imdb.com/title/tt1430132/?ref_=fn_tt_tt_1
M269,CS368,Ender's Game ,Gavin Hood,Action|Sci-Fi,USA,2013,6.7,http://www.imdb.com/title/tt1731141/?ref_=fn_tt_tt_1
M295,CS394,The Other Guys ,Adam McKay,Action|Comedy|Crime,USA,2010,6.7,http://www.imdb.com/title/tt1386588/?ref_=fn_tt_tt_1
M300,CS399,The Expendables 2 ,Simon West,Action|Adventure|Thriller,USA,2012,6.7,http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1
M447,CS546,RED 2 ,Dean Parisot,Action|Comedy|Crime|Thriller,USA,2013,6.7,http://www.imdb.com/title/tt1821694/?ref_=fn_tt_tt_1
M528,CS627,Wanted ,Timur Bekmambetov,Action|Crime|Fantasy|Thriller,USA,2008,6.7,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1
M629,CS728,Escape Plan ,Mikael Håfström,Action|Crime|Mystery|Sci-Fi|Thriller,USA,2013,6.7,http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1
M723,CS822,2 Guns ,Baltasar Kormákur,Action|Comedy|Crime|Drama|Thriller,USA,2013,6.7,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1
M771,CS870,Gangster Squad ,Ruben Fleischer,Action|Crime|Drama|Thriller,USA,2013,6.7,http://www.imdb.com/title/tt1321870/?ref_=fn_tt_tt_1
M1011,CS1110,Free State of Jones ,Gary Ross,Action|Biography|Drama|History|War,USA,2016,6.7,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1
M2142,CS2241,Never Back Down ,Jeff Wadlow,Action|Drama|Sport,USA,2008,6.6,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1
M1183,CS1282,Man on a Ledge ,Asger Leth,Action|Crime|Thriller,USA,2012,6.6,http://www.imdb.com/title/tt1568338/?ref_=fn_tt_tt_1
M1014,CS1113,Run All Night ,Jaume Collet-Serra,Action|Crime|Drama|Thriller,USA,2015,6.6,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1
M006,CS105,John Carter ,Andrew Stanton,Action|Adventure|Sci-Fi,USA,2012,6.6,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
M045,CS144,Terminator Salvation ,McG,Action|Adventure|Sci-Fi,USA,2009,6.6,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1
M1793,CS1892,Kick-Ass 2 ,Jeff Wadlow,Action|Comedy|Crime,USA,2013,6.6,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1
M1433,CS1532,Underworld: Rise of the Lycans ,Patrick Tatopoulos,Action|Adventure|Fantasy|Sci-Fi|Thriller,USA,2009,6.6,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1
M865,CS964,The Forbidden Kingdom ,Rob Minkoff,Action|Adventure|Fantasy,USA,2008,6.6,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1
M052,CS151,Prince of Persia: The Sands of Time ,Mike Newell,Action|Adventure|Fantasy|Romance,USA,2010,6.6,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1
M1154,CS1253,The Mechanic ,Simon West,Action|Crime|Thriller,USA,2011,6.6,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1
M943,CS1042,Central Intelligence ,Rawson Marshall Thurber,Action|Comedy|Crime,USA,2016,6.6,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1
M462,CS561,Eagle Eye ,D.J. Caruso,Action|Mystery|Thriller,USA,2008,6.6,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1
M1160,CS1259,The Heat ,Paul Feig,Action|Comedy|Crime,USA,2013,6.6,http://www.imdb.com/title/tt2404463/?ref_=fn_tt_tt_1
M064,CS163,The Legend of Tarzan ,David Yates,Action|Adventure|Drama|Romance,USA,2016,6.6,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
M110,CS209,Terminator Genisys ,Alan Taylor,Action|Adventure|Sci-Fi,USA,2015,6.6,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1
M017,CS116,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,Action|Adventure|Family|Fantasy,USA,2008,6.6,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
M138,CS237,The Legend of Tarzan ,David Yates,Action|Adventure|Drama|Romance,USA,2016,6.6,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
M230,CS329,Elysium ,Neill Blomkamp,Action|Drama|Sci-Fi|Thriller,USA,2013,6.6,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1
M600,CS699,Olympus Has Fallen ,Antoine Fuqua,Action|Thriller,USA,2013,6.5,http://www.imdb.com/title/tt2302755/?ref_=fn_tt_tt_1
M069,CS168,Monsters vs. Aliens ,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,USA,2009,6.5,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1
M1865,CS1964,Self/less ,Tarsem Singh,Action|Mystery|Sci-Fi|Thriller,USA,2015,6.5,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1
M1476,CS1575,Premium Rush ,David Koepp,Action|Crime|Thriller,USA,2012,6.5,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1
M4650,CS4749,Snitch ,Ric Roman Waugh,Action|Drama|Thriller,USA,2013,6.5,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1
M650,CS749,Need for Speed ,Scott Waugh,Action|Crime|Drama|Thriller,USA,2014,6.5,http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1
M089,CS188,Tomorrowland ,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,USA,2015,6.5,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1
M692,CS791,Sin City: A Dame to Kill For ,Frank Miller,Action|Crime|Thriller,USA,2014,6.5,http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1
