Movie ID,movie_title,director_name,num_voted_users,num_critic_for_reviews,imdb_score,movie_imdb_link
M039,Oz the Great and Powerful ,Sam Raimi,175409,525,6.4,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1
M040,The Amazing Spider-Man 2 ,Marc Webb,321227,495,6.7,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1
M041,TRON: Legacy ,Joseph Kosinski,264183,469,6.8,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
M042,Cars 2 ,John Lasseter,101178,304,6.3,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1
M043,Green Lantern ,Martin Campbell,223393,436,5.6,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1
M044,Toy Story 3 ,Lee Unkrich,544884,453,8.3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1
M045,Terminator Salvation ,McG,286095,422,6.6,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1
M046,Furious 7 ,James Wan,278232,424,7.2,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1
M047,World War Z ,Marc Forster,465019,654,7,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1
M048,X-Men: Days of Future Past ,Bryan Singer,514125,539,8,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1
M049,Star Trek Into Darkness ,J.J. Abrams,395573,590,7.8,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1
M050,Jack the Giant Slayer ,Bryan Singer,106416,338,6.3,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1
M051,The Great Gatsby ,Baz Luhrmann,362912,490,7.3,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1
M052,Prince of Persia: The Sands of Time ,Mike Newell,222403,306,6.6,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1
M053,Pacific Rim ,Guillermo del Toro,381148,575,7,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1
M054,Transformers: Dark of the Moon ,Michael Bay,326180,428,6.3,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1
M055,Indiana Jones and the Kingdom of the Crystal Skull ,Steven Spielberg,333847,470,6.2,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1
M056,The Good Dinosaur ,Peter Sohn,62836,298,6.8,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1
M057,Brave ,Mark Andrews,273556,488,7.2,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1
M058,Star Trek Beyond ,Justin Lin,53607,322,7.5,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1
M059,WALL·E ,Andrew Stanton,718837,421,8.4,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1
M060,Rush Hour 3 ,Brett Ratner,121084,162,6.2,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1
M061,2012 ,Roland Emmerich,283418,367,5.8,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1
M062,A Christmas Carol ,Robert Zemeckis,72809,240,6.8,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1
M063,Jupiter Ascending ,Lana Wachowski,139593,384,5.4,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1
M064,The Legend of Tarzan ,David Yates,42372,248,6.6,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
M065,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Andrew Adamson,286506,284,6.9,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1
M066,X-Men: Apocalypse ,Bryan Singer,148379,396,7.3,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1
M067,The Dark Knight ,Christopher Nolan,1676169,645,9,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1
M068,Up ,Pete Docter,665575,408,8.3,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1
M069,Monsters vs. Aliens ,Rob Letterman,114553,219,6.5,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1
M070,Iron Man ,Jon Favreau,696338,486,7.9,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1
M071,Hugo ,Martin Scorsese,245333,682,7.5,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1
M072,Wild Wild West ,Barry Sonnenfeld,129601,85,4.8,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1
M073,The Mummy: Tomb of the Dragon Emperor ,Rob Cohen,117927,264,5.2,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1
M074,Suicide Squad ,David Ayer,118992,418,6.9,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1
M075,Evan Almighty ,Tom Shadyac,115099,186,5.4,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1
M076,Edge of Tomorrow ,Doug Liman,431620,585,7.9,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1
M077,Waterworld ,Kevin Reynolds,144337,91,6.1,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1
M078,G.I. Joe: The Rise of Cobra ,Stephen Sommers,174578,250,5.8,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1
M079,Inside Out ,Pete Docter,345198,536,8.3,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1
M080,The Jungle Book ,Jon Favreau,106072,370,7.8,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1
M081,Iron Man 2 ,Jon Favreau,522371,453,7,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1
M082,Snow White and the Huntsman ,Rupert Sanders,228554,416,6.1,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1
M083,Maleficent ,Robert Stromberg,252257,401,7,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1
M084,Dawn of the Planet of the Apes ,Matt Reeves,317542,521,7.6,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1
M085,The Lovers ,Roland Joffé,2138,10,4.5,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1
M086,47 Ronin ,Carl Rinsch,116994,218,6.3,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1
M087,Captain America: The Winter Soldier ,Anthony Russo,496749,576,7.8,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1
M088,Shrek Forever After ,Mike Mitchell,138661,226,6.4,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1
M089,Tomorrowland ,Brad Bird,128306,443,6.5,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1
M090,Big Hero 6 ,Don Hall,279093,384,7.9,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1
M091,Wreck-It Ralph ,Rich Moore,272534,377,7.8,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1
M092,The Polar Express ,Robert Zemeckis,120798,188,6.6,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1
M093,Independence Day: Resurgence ,Roland Emmerich,58137,286,5.5,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1
M094,How to Train Your Dragon ,Dean DeBlois,485430,288,8.2,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1
M095,Terminator 3: Rise of the Machines ,Jonathan Mostow,305340,280,6.4,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1
M096,Guardians of the Galaxy ,James Gunn,682155,653,8.1,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1
M097,Interstellar ,Christopher Nolan,928227,712,8.6,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1
M098,Inception ,Christopher Nolan,1468200,642,8.8,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1
M099,Godzilla Resurgence ,Hideaki Anno,374,1,8.2,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1
M100,The Hobbit: An Unexpected Journey ,Peter Jackson,637246,645,7.9,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1
M101,The Fast and the Furious ,Rob Cohen,272223,187,6.7,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1
M102,The Curious Case of Benjamin Button ,David Fincher,459346,362,7.8,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1
M103,X-Men: First Class ,Matthew Vaughn,518537,500,7.8,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1
M104,The Hunger Games: Mockingjay - Part 2 ,Francis Lawrence,166137,389,6.6,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1
M105,The Sorcerer's Apprentice ,Jon Turteltaub,124185,235,6.1,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1
M106,Poseidon ,Wolfgang Petersen,82380,231,5.6,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1
M107,Alice Through the Looking Glass ,James Bobin,21352,218,6.4,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1
M108,Shrek the Third ,Chris Miller,211971,227,6.1,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1
M109,Warcraft ,Duncan Jones,111609,275,7.3,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1
M110,Terminator Genisys ,Alan Taylor,188457,474,6.6,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1
M111,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Michael Apted,106446,228,6.3,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1
M112,Pearl Harbor ,Michael Bay,254111,191,6.1,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1
M113,Transformers ,Michael Bay,513158,396,7.1,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1
M114,Alexander ,Oliver Stone,138863,248,5.5,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1
M115,Harry Potter and the Order of the Phoenix ,David Yates,355137,329,7.5,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1
M116,Harry Potter and the Goblet of Fire ,Mike Newell,385670,295,7.6,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1
M117,Hancock ,Peter Berg,343648,318,6.4,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1
M118,I Am Legend ,Francis Lawrence,530870,323,7.2,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1
M119,Charlie and the Chocolate Factory ,Tim Burton,320284,276,6.7,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1
M120,Ratatouille ,Brad Bird,473887,318,8,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1
M121,Batman Begins ,Christopher Nolan,980946,478,8.3,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1
M122,Madagascar: Escape 2 Africa ,Eric Darnell,146019,167,6.7,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1
M123,Night at the Museum: Battle of the Smithsonian ,Shawn Levy,130272,185,5.9,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1
M124,X-Men Origins: Wolverine ,Gavin Hood,361924,350,6.7,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1
M125,The Matrix Revolutions ,Lana Wachowski,364948,245,6.7,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1
M126,Frozen ,Chris Buck,421658,406,7.6,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1
M127,The Matrix Reloaded ,Lana Wachowski,421818,275,7.2,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1
M128,Thor: The Dark World ,Alan Taylor,414070,486,7.1,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1
M129,Mad Max: Fury Road ,George Miller,552503,739,8.1,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1
M130,Angels & Demons ,Ron Howard,207839,298,6.7,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1
M131,Thor ,Kenneth Branagh,536314,516,7,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1
M132,Bolt ,Byron Howard,146766,225,6.9,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1
M133,G-Force ,Hoyt Yeatman,33042,145,5.1,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1
M134,Wrath of the Titans ,Jonathan Liebesman,152826,310,5.8,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1
M135,Dark Shadows ,Tim Burton,199039,526,6.2,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1
M136,Mission: Impossible - Rogue Nation ,Christopher McQuarrie,232187,465,7.4,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1
M137,The Wolfman ,Joe Johnston,89442,357,5.8,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1
M138,The Legend of Tarzan ,David Yates,42372,248,6.6,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
M139,Bee Movie ,Steve Hickner,105902,194,6.2,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1
M140,Kung Fu Panda 2 ,Jennifer Yuh Nelson,182718,284,7.3,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1
M141,The Last Airbender ,M. Night Shyamalan,118951,280,4.2,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1
M142,Mission: Impossible III ,J.J. Abrams,256695,310,6.9,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1
M143,White House Down ,Roland Emmerich,164238,339,6.4,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1
M144,Mars Needs Moms ,Simon Wells,17590,132,5.4,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1
M145,Flushed Away ,David Bowers,85086,135,6.7,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1
M146,Pan ,Joe Wright,39956,256,5.8,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1
M147,Mr. Peabody & Sherman ,Rob Minkoff,47900,196,6.9,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1
M148,Troy ,Wolfgang Petersen,381672,220,7.2,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1
M149,Madagascar 3: Europe's Most Wanted ,Eric Darnell,119213,211,6.9,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1
M150,Die Another Day ,Lee Tamahori,169914,264,6.1,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1
M151,Ghostbusters ,Paul Feig,69757,464,5.5,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1
M152,Armageddon ,Michael Bay,322395,167,6.6,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1
M153,Men in Black II ,Barry Sonnenfeld,270207,208,6.1,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1
M154,Beowulf ,Robert Zemeckis,142440,287,6.3,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1
M155,Kung Fu Panda 3 ,Alessandro Carloni,64322,210,7.2,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1
M156,Mission: Impossible - Ghost Protocol ,Brad Bird,365104,432,7.4,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1
M157,Rise of the Guardians ,Peter Ramsey,123553,256,7.3,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1
M158,Fun with Dick and Jane ,Dean Parisot,110788,135,6.1,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1
M159,The Last Samurai ,Edward Zwick,317166,190,7.7,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1
M160,Exodus: Gods and Kings ,Ridley Scott,128682,314,6.1,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1
M161,Star Trek ,J.J. Abrams,504419,518,8,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1
M162,Spider-Man ,Sam Raimi,544665,291,7.3,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1
M163,How to Train Your Dragon 2 ,Dean DeBlois,221128,292,7.9,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1
M164,Gods of Egypt ,Alex Proyas,51892,184,5.5,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1
M165,Stealth ,Rob Cohen,45455,145,5,http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1
M166,Watchmen ,Zack Snyder,392474,451,7.7,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1
M167,Lethal Weapon 4 ,Richard Donner,127497,141,6.6,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1
M168,Hulk ,Ang Lee,212106,267,5.7,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1
M169,G.I. Joe: Retaliation ,Jon M. Chu,146352,351,5.8,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1
M170,Sahara ,Breck Eisner,77673,163,6,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1
M171,Final Fantasy: The Spirits Within ,Hironobu Sakaguchi,72259,166,6.4,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1
M172,Captain America: The First Avenger ,Joe Johnston,508818,510,6.9,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1
M173,The World Is Not Enough ,Michael Apted,157519,197,6.4,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1
M174,Master and Commander: The Far Side of the World ,Peter Weir,168207,244,7.4,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1
M175,The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,185394,322,5.5,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1
M176,Happy Feet 2 ,George Miller,32399,156,5.9,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1
M177,The Incredible Hulk ,Louis Leterrier,326286,354,6.8,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1
M178,Miami Vice             ,,16769,21,7.5,http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1
M179,The BFG ,Steven Spielberg,12572,252,6.8,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1
M180,The Revenant ,Alejandro G. Iñárritu,406020,556,8.1,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1
M181,Turbo ,David Soren,62424,166,6.5,http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1
M182,Rango ,Gore Verbinski,183208,362,7.2,http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1
M183,Penguins of Madagascar ,Eric Darnell,60230,153,6.7,http://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1
M184,The Bourne Ultimatum ,Paul Greengrass,491077,329,8.1,http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1
M185,Kung Fu Panda ,Mark Osborne,307029,266,7.6,http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1
M186,Ant-Man ,Peyton Reed,313866,517,7.4,http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1
M187,The Hunger Games: Catching Fire ,Francis Lawrence,498397,502,7.6,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1
M188,The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,185394,322,5.5,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1
M189,Home ,Tim Johnson,70121,165,6.7,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1
M190,War of the Worlds ,Steven Spielberg,334345,401,6.5,http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1
M191,Bad Boys II ,Michael Bay,178126,94,6.6,http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1
M192,Puss in Boots ,Chris Miller,114287,246,6.7,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1
M193,Salt ,Phillip Noyce,245621,330,6.4,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1
M194,Noah ,Darren Aronofsky,200022,434,5.8,http://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1
M195,The Adventures of Tintin ,Steven Spielberg,177383,440,7.4,http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1
M196,Harry Potter and the Prisoner of Azkaban ,Alfonso Cuarón,382255,274,7.8,http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1
M197,Australia ,Baz Luhrmann,102338,245,6.6,http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1
M198,After Earth ,M. Night Shyamalan,158720,349,4.9,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1
M199,Dinosaur ,Eric Leighton,38438,145,6.5,http://www.imdb.com/title/tt0130623/?ref_=fn_tt_tt_1
M200,Harry Potter and the Deathly Hallows: Part II ,Matt Birch,381,1,7.5,http://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1
M201,Night at the Museum: Secret of the Tomb ,Shawn Levy,67223,154,6.2,http://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1
M202,Megamind ,Tom McGrath,172754,233,7.3,http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1
M203,Harry Potter and the Sorcerer's Stone ,Chris Columbus,444683,258,7.5,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1
M204,R.I.P.D. ,Robert Schwentke,91640,208,5.6,http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1
M205,Godzilla Resurgence ,Hideaki Anno,374,1,8.2,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1
M206,Pirates of the Caribbean: The Curse of the Black Pearl ,Gore Verbinski,809474,271,8.1,http://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1
