cast_set_num,movie_title,actor_1_name,actor_2_name,actor_3_name,facenumber_in_poster
CS122,Robin Hood ,Mark Addy,William Hurt,Scott Grimes,0
CS123,The Hobbit: The Desolation of Smaug ,Aidan Turner,Adam Brown,James Nesbitt,6
CS124,The Golden Compass ,Christopher Lee,Eva Green,Kristin Scott Thomas,2
CS125,King Kong ,Naomi Watts,Thomas Kretschmann,Evan Parke,0
CS126,Titanic ,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,0
CS127,Captain America: Civil War ,Robert Downey Jr.,Scarlett Johansson,Chris Evans,0
CS128,Battleship ,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,0
CS129,Jurassic World ,Bryce Dallas Howard,Judy Greer,Omar Sy,0
CS130,Skyfall ,Albert Finney,Helen McCrory,Rory Kinnear,0
CS131,Spider-Man 2 ,J.K. Simmons,James Franco,Kirsten Dunst,1
CS132,Iron Man 3 ,Robert Downey Jr.,Jon Favreau,Don Cheadle,3
CS133,Alice in Wonderland ,Johnny Depp,Alan Rickman,Anne Hathaway,0
CS134,X-Men: The Last Stand ,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,0
CS135,Monsters University ,Steve Buscemi,Tyler Labine,Sean Hayes,0
CS136,Transformers: Revenge of the Fallen ,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,0
CS137,Transformers: Age of Extinction ,Bingbing Li,Sophia Myles,Kelsey Grammer,2
CS138,Oz the Great and Powerful ,Tim Holmes,Mila Kunis,James Franco,4
CS139,The Amazing Spider-Man 2 ,Emma Stone,Andrew Garfield,B.J. Novak,0
CS140,TRON: Legacy ,Jeff Bridges,Olivia Wilde,James Frain,0
CS141,Cars 2 ,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,0
CS142,Green Lantern ,Ryan Reynolds,Temuera Morrison,Taika Waititi,2
CS143,Toy Story 3 ,Tom Hanks,John Ratzenberger,Don Rickles,3
CS144,Terminator Salvation ,Christian Bale,Bryce Dallas Howard,Common,0
CS145,Furious 7 ,Jason Statham,Paul Walker,Vin Diesel,0
CS146,World War Z ,Peter Capaldi,Brad Pitt,Mireille Enos,0
CS147,X-Men: Days of Future Past ,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,7
CS148,Star Trek Into Darkness ,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,0
CS149,Jack the Giant Slayer ,Eddie Marsan,Ewen Bremner,Ralph Brown,1
CS150,The Great Gatsby ,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,4
CS151,Prince of Persia: The Sands of Time ,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,2
CS152,Pacific Rim ,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,0
CS153,Transformers: Dark of the Moon ,Glenn Morshower,Lester Speight,Kevin Dunn,2
CS154,Indiana Jones and the Kingdom of the Crystal Skull ,Harrison Ford,Ray Winstone,Jim Broadbent,2
CS155,The Good Dinosaur ,A.J. Buckley,Jack McGraw,Peter Sohn,0
CS156,Brave ,Kelly Macdonald,John Ratzenberger,Julie Walters,0
CS157,Star Trek Beyond ,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,4
CS158,WALL·E ,John Ratzenberger,Fred Willard,Jeff Garlin,0
CS159,Rush Hour 3 ,Tzi Ma,Dana Ivey,Noémie Lenoir,2
CS160,2012 ,Oliver Platt,Liam James,Tom McCarthy,0
CS161,A Christmas Carol ,Robin Wright,Colin Firth,Gary Oldman,0
CS162,Jupiter Ascending ,Channing Tatum,Mila Kunis,Eddie Redmayne,1
CS163,The Legend of Tarzan ,Christoph Waltz,Alexander Skarsgård,Casper Crump,2
CS164,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Jim Broadbent,Kiran Shah,Shane Rangi,5
CS165,X-Men: Apocalypse ,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,6
CS166,The Dark Knight ,Christian Bale,Heath Ledger,Morgan Freeman,0
CS167,Up ,John Ratzenberger,Delroy Lindo,Jess Harnell,1
CS168,Monsters vs. Aliens ,Amy Poehler,Rainn Wilson,Stephen Colbert,2
CS169,Iron Man ,Robert Downey Jr.,Jeff Bridges,Jon Favreau,3
CS170,Hugo ,Chloë Grace Moretz,Christopher Lee,Ray Winstone,0
CS171,Wild Wild West ,Will Smith,Salma Hayek,Bai Ling,2
CS172,The Mummy: Tomb of the Dragon Emperor ,Jet Li,Brendan Fraser,Russell Wong,2
CS173,Suicide Squad ,Will Smith,Robin Atkin Downes,Ike Barinholtz,8
CS174,Evan Almighty ,Jimmy Bennett,Morgan Freeman,Steve Carell,0
CS175,Edge of Tomorrow ,Tom Cruise,Lara Pulver,Noah Taylor,1
CS176,Waterworld ,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,0
CS177,G.I. Joe: The Rise of Cobra ,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,4
CS178,Inside Out ,Amy Poehler,Mindy Kaling,Phyllis Smith,1
CS179,The Jungle Book ,Scarlett Johansson,Bill Murray,Garry Shandling,0
CS180,Iron Man 2 ,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,4
CS181,Snow White and the Huntsman ,Chris Hemsworth,Kristen Stewart,Sam Claflin,0
CS182,Maleficent ,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,2
CS183,Dawn of the Planet of the Apes ,Gary Oldman,Judy Greer,Kodi Smit-McPhee,0
CS184,The Lovers ,Tamsin Egerton,Alice Englert,Bipasha Basu,3
CS185,47 Ronin ,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,2
CS186,Captain America: The Winter Soldier ,Scarlett Johansson,Chris Evans,Hayley Atwell,1
CS187,Shrek Forever After ,Jon Hamm,Kathy Griffin,Mary Kay Place,2
CS188,Tomorrowland ,Judy Greer,Chris Bauer,Thomas Robinson,2
CS189,Big Hero 6 ,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,0
CS190,Wreck-It Ralph ,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,1
CS191,The Polar Express ,Tom Hanks,Eddie Deezen,Peter Scolari,0
CS192,Independence Day: Resurgence ,Vivica A. Fox,Sela Ward,Judd Hirsch,0
CS193,How to Train Your Dragon ,Gerard Butler,America Ferrera,Craig Ferguson,0
CS194,Terminator 3: Rise of the Machines ,Nick Stahl,M.C. Gainey,Carolyn Hennesy,0
CS195,Guardians of the Galaxy ,Bradley Cooper,Vin Diesel,Djimon Hounsou,3
CS196,Interstellar ,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,1
CS197,Inception ,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,0
CS198,Godzilla Resurgence ,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,0
CS199,The Hobbit: An Unexpected Journey ,Aidan Turner,Adam Brown,James Nesbitt,
CS200,The Fast and the Furious ,Paul Walker,Vin Diesel,Jordana Brewster,2
CS201,The Curious Case of Benjamin Button ,Brad Pitt,Jason Flemyng,Julia Ormond,2
CS202,X-Men: First Class ,Jennifer Lawrence,Michael Fassbender,Oliver Platt,3
CS203,The Hunger Games: Mockingjay - Part 2 ,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,1
CS204,The Sorcerer's Apprentice ,Nicolas Cage,Omar Benson Miller,Robert Capron,0
CS205,Poseidon ,Jimmy Bennett,Mike Vogel,Andre Braugher,0
CS206,Alice Through the Looking Glass ,Johnny Depp,Alan Rickman,Anne Hathaway,1
CS207,Shrek the Third ,Justin Timberlake,Eric Idle,Rupert Everett,2
CS208,Warcraft ,Dominic Cooper,Callum Rennie,Ruth Negga,0
CS209,Terminator Genisys ,J.K. Simmons,Emilia Clarke,Matt Smith,2
CS210,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Bruce Spence,Shane Rangi,Laura Brent,4
CS211,Pearl Harbor ,Jennifer Garner,Jaime King,Mako,0
CS212,Transformers ,Zack Ward,Michael O'Neill,Kevin Dunn,0
CS213,Alexander ,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,3
CS214,Harry Potter and the Order of the Phoenix ,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,3
CS215,Harry Potter and the Goblet of Fire ,Robert Pattinson,Daniel Radcliffe,Rupert Grint,1
CS216,Hancock ,Will Smith,Charlize Theron,Eddie Marsan,0
CS217,I Am Legend ,Will Smith,Alice Braga,Willow Smith,0
CS218,Charlie and the Chocolate Factory ,Johnny Depp,Christopher Lee,David Kelly,3
CS219,Ratatouille ,Janeane Garofalo,John Ratzenberger,Brian Dennehy,0
CS220,Batman Begins ,Christian Bale,Liam Neeson,Morgan Freeman,0
CS221,Madagascar: Escape 2 Africa ,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,0
CS222,Night at the Museum: Battle of the Smithsonian ,Robin Williams,Rami Malek,Steve Coogan,2
CS223,X-Men Origins: Wolverine ,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,0
CS224,The Matrix Revolutions ,Essie Davis,Collin Chou,Nona Gaye,0
CS225,Frozen ,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,0
CS226,The Matrix Reloaded ,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,0
CS227,Thor: The Dark World ,Chris Hemsworth,Natalie Portman,Anthony Hopkins,3
CS228,Mad Max: Fury Road ,Tom Hardy,Charlize Theron,Zoë Kravitz,0
CS229,Angels & Demons ,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,2
CS230,Thor ,Chris Hemsworth,Natalie Portman,Anthony Hopkins,1
CS231,Bolt ,Chloë Grace Moretz,Diedrich Bader,James Lipton,0
CS232,G-Force ,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,0
CS233,Wrath of the Titans ,Liam Neeson,Edgar Ramírez,Lily James,0
CS234,Dark Shadows ,Johnny Depp,Chloë Grace Moretz,Christopher Lee,7
CS235,Mission: Impossible - Rogue Nation ,Tom Cruise,Jeremy Renner,Sean Harris,0
CS236,The Wolfman ,Anthony Hopkins,Simon Merrells,Art Malik,0
CS237,The Legend of Tarzan ,Christoph Waltz,Alexander Skarsgård,Casper Crump,2
CS238,Bee Movie ,Matthew Broderick,Oprah Winfrey,Rip Torn,0
CS239,Kung Fu Panda 2 ,Angelina Jolie Pitt,Gary Oldman,Mike Bell,0
CS240,The Last Airbender ,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,0
CS241,Mission: Impossible III ,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,0
CS242,White House Down ,Channing Tatum,Jake Weber,Matt Craven,2
CS243,Mars Needs Moms ,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,0
CS244,Flushed Away ,Hugh Jackman,Kate Winslet,David Suchet,0
CS245,Pan ,Hugh Jackman,Cara Delevingne,Nonso Anozie,4
CS246,Mr. Peabody & Sherman ,Ty Burrell,Zach Callison,Karan Brar,2
CS247,Troy ,Brad Pitt,Orlando Bloom,Julian Glover,2
CS248,Madagascar 3: Europe's Most Wanted ,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,0
CS249,Die Another Day ,Toby Stephens,Colin Salmon,Rick Yune,0
CS250,Ghostbusters ,Ed Begley Jr.,Kate McKinnon,Zach Woods,4
CS251,Armageddon ,Bruce Willis,Steve Buscemi,Will Patton,0
CS252,Men in Black II ,Will Smith,Rosario Dawson,Rip Torn,2
CS253,Beowulf ,Robin Wright,Anthony Hopkins,Sebastian Roché,1
CS254,Kung Fu Panda 3 ,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,0
CS255,Mission: Impossible - Ghost Protocol ,Tom Cruise,Jeremy Renner,Michael Nyqvist,3
CS256,Rise of the Guardians ,Hugh Jackman,Kamil McFadden,Khamani Griffin,0
CS257,Fun with Dick and Jane ,John Michael Higgins,Richard Burgi,David Herman,1
CS258,The Last Samurai ,Tom Cruise,Tony Goldwyn,Chad Lindberg,1
CS259,Exodus: Gods and Kings ,Christian Bale,María Valverde,Ben Mendelsohn,0
CS260,Star Trek ,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,0
CS261,Spider-Man ,J.K. Simmons,James Franco,Kirsten Dunst,0
CS262,How to Train Your Dragon 2 ,Gerard Butler,Djimon Hounsou,America Ferrera,5
CS263,Gods of Egypt ,Gerard Butler,Elodie Yung,Bryan Brown,4
CS264,Stealth ,Sam Shepard,Joe Morton,Richard Roxburgh,0
CS265,Watchmen ,Matt Frewer,Billy Crudup,Stephen McHattie,1
CS266,Lethal Weapon 4 ,Jet Li,Rene Russo,Darlene Love,2
CS267,Hulk ,Kevin Rankin,Regi Davis,Celia Weston,0
CS268,G.I. Joe: Retaliation ,Channing Tatum,Dwayne Johnson,Elodie Yung,6
CS269,Sahara ,Matthew McConaughey,Rainn Wilson,Delroy Lindo,3
CS270,Final Fantasy: The Spirits Within ,Steve Buscemi,Ming-Na Wen,Jean Simmons,1
CS271,Captain America: The First Avenger ,Chris Evans,Dominic Cooper,Hayley Atwell,0
CS272,The World Is Not Enough ,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,2
CS273,Master and Commander: The Far Side of the World ,James D'Arcy,Lee Ingleby,David Threlfall,1
CS274,The Twilight Saga: Breaking Dawn - Part 2 ,Robert Pattinson,Kristen Stewart,Taylor Lautner,3
CS275,Happy Feet 2 ,Robin Williams,Brad Pitt,Common,0
CS276,The Incredible Hulk ,Ty Burrell,Peter Mensah,William Hurt,0
CS277,Miami Vice             ,Don Johnson,Philip Michael Thomas,John Diehl,2
CS278,The BFG ,Mark Rylance,Penelope Wilton,Rafe Spall,0
CS279,The Revenant ,Leonardo DiCaprio,Tom Hardy,Lukas Haas,0
CS280,Turbo ,Ryan Reynolds,Snoop Dogg,Ben Schwartz,0
CS281,Rango ,Johnny Depp,Ray Winstone,Stephen Root,0
CS282,Penguins of Madagascar ,Benedict Cumberbatch,Annet Mahendru,Andy Richter,0
CS283,The Bourne Ultimatum ,Matt Damon,Edgar Ramírez,Albert Finney,0
CS284,Kung Fu Panda ,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,0
CS285,Ant-Man ,Judy Greer,Hayley Atwell,T.I.,6
CS286,The Hunger Games: Catching Fire ,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,1
CS287,The Twilight Saga: Breaking Dawn - Part 2 ,Robert Pattinson,Kristen Stewart,Taylor Lautner,3
CS288,Home ,Jim Parsons,Matt Jones,April Winchell,0
CS289,War of the Worlds ,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,0
CS290,Bad Boys II ,Will Smith,Henry Rollins,Jordi Mollà,1
CS291,Puss in Boots ,Salma Hayek,Constance Marie,Amy Sedaris,0
CS292,Salt ,Angelina Jolie Pitt,Andre Braugher,August Diehl,1
CS293,Noah ,Anthony Hopkins,Emma Watson,Logan Lerman,2
CS294,The Adventures of Tintin ,Toby Jones,Mackenzie Crook,Tony Curran,1
CS295,Harry Potter and the Prisoner of Azkaban ,Daniel Radcliffe,Gary Oldman,Rupert Grint,3
CS296,Australia ,Essie Davis,Bryan Brown,Eddie Baroo,0
CS297,After Earth ,Will Smith,Zoë Kravitz,Glenn Morshower,0
CS298,Dinosaur ,Alfre Woodard,D.B. Sweeney,Della Reese,1
CS299,Harry Potter and the Deathly Hallows: Part II ,Rupert Grint,Dave Legeno,Ralph Ineson,1
CS300,Night at the Museum: Secret of the Tomb ,Robin Williams,Rami Malek,Steve Coogan,7
CS301,Megamind ,J.K. Simmons,Brad Pitt,Will Ferrell,3
CS302,Harry Potter and the Sorcerer's Stone ,Daniel Radcliffe,Fiona Shaw,Verne Troyer,4
CS303,R.I.P.D. ,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,2
CS304,Godzilla Resurgence ,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,0
CS305,Pirates of the Caribbean: The Curse of the Black Pearl ,Johnny Depp,Orlando Bloom,Jack Davenport,3
CS306,Harry Potter and the Deathly Hallows: Part I ,Rupert Grint,Toby Jones,Alfred Enoch,1
CS307,The Hunger Games: Mockingjay - Part 1 ,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,1
CS308,The Da Vinci Code ,Tom Hanks,Seth Gabel,Jürgen Prochnow,2
CS309,Rio 2 ,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,0
CS310,X-Men 2 ,Hugh Jackman,Bruce Davison,Aaron Stanford,4
CS311,Fast Five ,Paul Walker,Vin Diesel,Dwayne Johnson,3
CS312,Sherlock Holmes: A Game of Shadows ,Robert Downey Jr.,Eddie Marsan,Paul Anderson,2
CS313,Clash of the Titans ,Liam Neeson,Jason Flemyng,Alexa Davalos,0
CS314,Total Recall ,Ronny Cox,Rachel Ticotin,Marshall Bell,0
CS315,The 13th Warrior ,Tony Curran,Vladimir Kulich,Clive Russell,1
CS316,The Bourne Legacy ,Jeremy Renner,Scott Glenn,Stacy Keach,0
CS317,Batman & Robin ,Michael Gough,Vivica A. Fox,John Glover,3
CS318,How the Grinch Stole Christmas ,Clint Howard,T.J. Thyne,Molly Shannon,0
CS319,The Day After Tomorrow ,Jake Gyllenhaal,Dennis Quaid,Sela Ward,0
CS320,Mission: Impossible II ,Tom Cruise,Dougray Scott,Richard Roxburgh,0
CS321,The Perfect Storm ,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,0
CS322,Fantastic 4: Rise of the Silver Surfer ,Chris Evans,Ioan Gruffudd,Andre Braugher,3
CS323,Life of Pi ,Suraj Sharma,Rafe Spall,Tabu,0
CS324,Ghost Rider ,Nicolas Cage,Matt Long,Peter Fonda,1
CS325,Jason Bourne ,Matt Damon,Riz Ahmed,Ato Essandoh,0
CS326,Charlie's Angels: Full Throttle ,Demi Moore,Bernie Mac,Justin Theroux,0
CS327,Prometheus ,Michael Fassbender,Charlize Theron,Sean Harris,0
CS328,Stuart Little 2 ,Nathan Lane,Brad Garrett,Melanie Griffith,0
CS329,Elysium ,Matt Damon,Sharlto Copley,Alice Braga,0
CS330,The Chronicles of Riddick ,Vin Diesel,Alexa Davalos,Christina Cox,0
CS331,RoboCop ,Gary Oldman,Abbie Cornish,Jennifer Ehle,0
CS332,Speed Racer ,Scott Porter,Kick Gurry,Nicholas Elia,0
CS333,How Do You Know ,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,4
CS334,Knight and Day ,Tom Cruise,Marc Blucas,Jordi Mollà,0
CS335,Oblivion ,Morgan Freeman,Tom Cruise,Zoë Bell,0
CS336,Star Wars: Episode III - Revenge of the Sith ,Natalie Portman,Christopher Lee,Hayden Christensen,4
CS337,Star Wars: Episode II - Attack of the Clones ,Natalie Portman,Christopher Lee,Hayden Christensen,3
CS338,"Monsters, Inc. ",Steve Buscemi,John Ratzenberger,James Coburn,0
CS339,The Wolverine ,Hugh Jackman,Tao Okamoto,Rila Fukushima,1
CS340,Star Wars: Episode I - The Phantom Menace ,Natalie Portman,Liam Neeson,Ian McDiarmid,1
CS341,The Croods ,Ryan Reynolds,Emma Stone,Nicolas Cage,3
CS342,Asterix at the Olympic Games ,Alain Delon,Santiago Segura,Vanessa Hessler,1
CS343,Windtalkers ,Nicolas Cage,Roger Willie,Noah Emmerich,0
CS344,The Huntsman: Winter's War ,Chris Hemsworth,Sam Claflin,Charlize Theron,2
CS345,Teenage Mutant Ninja Turtles ,Noel Fisher,Danny Woodburn,Jeremy Howard,0
CS346,Gravity ,Phaldut Sharma,Basher Savage,Amy Warren,0
CS347,Dante's Peak ,Jamie Renée Smith,Grant Heslov,Tzi Ma,1
CS348,Teenage Mutant Ninja Turtles: Out of the Shadows ,Stephen Amell,Noel Fisher,Brad Garrett,
CS349,Fantastic Four ,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,3
CS350,Night at the Museum ,Robin Williams,Rami Malek,Steve Coogan,2
CS351,San Andreas ,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,0
CS352,Tomorrow Never Dies ,Vincent Schiavelli,Colin Salmon,Joe Don Baker,3
CS353,The Patriot ,Heath Ledger,Adam Baldwin,Tom Wilkinson,1
CS354,Ocean's Twelve ,Brad Pitt,Julia Roberts,Mini Anden,0
CS355,Mr. & Mrs. Smith ,Brad Pitt,Angelina Jolie Pitt,Stephanie March,2
CS356,Insurgent ,Kate Winslet,Theo James,Mekhi Phifer,0
CS357,The Aviator ,Leonardo DiCaprio,Adam Scott,Frances Conroy,0
CS358,Gulliver's Travels ,James Corden,Catherine Tate,Olly Alexander,1
CS359,The Green Hornet ,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,0
CS360,The A-Team             ,George Peppard,Dirk Benedict,Dwight Schultz,4
CS361,300: Rise of an Empire ,Eva Green,Sullivan Stapleton,Peter Mensah,0
CS362,The Smurfs ,Mahadeo Shivraj,Tim Gunn,Madison McKinley,3
CS363,Home on the Range ,Steve Buscemi,Roseanne Barr,G.W. Bailey,0
CS364,Allegiant ,Naomi Watts,Theo James,Zoë Kravitz,3
CS365,Real Steel ,Hugh Jackman,Torey Michael Adkins,Olga Fonda,1
CS366,The Smurfs 2 ,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,3
CS367,Speed 2: Cruise Control ,Jason Patric,Temuera Morrison,Lois Chiles,0
CS368,Ender's Game ,Harrison Ford,Moises Arias,Aramis Knight,4
CS369,Live Free or Die Hard ,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,1
CS370,The Lord of the Rings: The Fellowship of the Ring ,Christopher Lee,Orlando Bloom,Billy Boyd,2
CS371,Around the World in 80 Days ,Jim Broadbent,Steve Coogan,Cécile De France,0
CS372,Ali ,Will Smith,Jada Pinkett Smith,Joe Morton,1
CS373,The Cat in the Hat ,Sean Hayes,Kelly Preston,Spencer Breslin,1
CS374,"I, Robot ",Will Smith,Bruce Greenwood,Chi McBride,1
CS375,Kingdom of Heaven ,Liam Neeson,Orlando Bloom,Philip Glenister,1
CS376,Stuart Little ,Chazz Palminteri,Nathan Lane,Jeffrey Jones,0
CS377,The Princess and the Frog ,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,0
CS378,The Martian ,Matt Damon,Donald Glover,Benedict Wong,1
CS379,"10,000 B.C.             ",Mathew Buck,,,0
CS380,The Island ,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,1
CS381,Town & Country ,Del Zamora,Warren Beatty,Garry Shandling,0
CS382,Gone in Sixty Seconds ,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,1
CS383,Gladiator ,Djimon Hounsou,Connie Nielsen,Oliver Reed,0
CS384,Minority Report ,Tom Cruise,Frank Grillo,Jessica Capshaw,0
CS385,Harry Potter and the Chamber of Secrets ,Daniel Radcliffe,Rupert Grint,Emma Watson,1
CS386,Casino Royale ,Eva Green,Tobias Menzies,Ivana Milicevic,1
CS387,Planet of the Apes ,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,0
CS388,Terminator 2: Judgment Day ,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,0
CS389,Public Enemies ,Johnny Depp,Christian Bale,Stephen Graham,1
CS390,American Gangster ,Denzel Washington,Ruby Dee,RZA,0
CS391,True Lies ,Jamie Lee Curtis,Tia Carrere,Tom Arnold,0
CS392,The Taking of Pelham 1 2 3 ,Denzel Washington,Ramon Rodriguez,Michael Rispoli,1
CS393,Little Fockers ,Robert De Niro,Blythe Danner,Teri Polo,10
CS394,The Other Guys ,Dwayne Johnson,Will Ferrell,Derek Jeter,2
CS395,Eraser ,Vanessa Williams,James Coburn,Roma Maffia,1
CS396,Django Unchained ,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,1
CS397,The Hunchback of Notre Dame ,Demi Moore,Jason Alexander,Bill Fagerbakke,0
CS398,The Emperor's New Groove ,Eartha Kitt,Wendie Malick,John Fiedler,1
CS399,The Expendables 2 ,Jason Statham,Sylvester Stallone,Bruce Willis,3
CS400,National Treasure ,Nicolas Cage,Armando Riesco,Annie Parisse,0
CS401,Eragon ,Djimon Hounsou,Ed Speleers,Gary Lewis,0
CS402,Where the Wild Things Are ,Catherine O'Hara,Ryan Corr,Max Records,0
CS403,Pan ,Hugh Jackman,Cara Delevingne,Nonso Anozie,4
CS404,Epic ,Josh Hutcherson,Emma Kenney,Troy Evans,2
CS405,The Tourist ,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,0
CS406,End of Days ,CCH Pounder,Mark Margolis,Udo Kier,0
