Movie ID,budget,gross
M139,150000000,126597121
M140,150000000,165230261
M141,150000000,131564731
M142,150000000,133382309
M143,150000000,73103784
M144,150000000,21379315
M145,149000000,64459316
M146,150000000,34964818
M147,145000000,111505642
M148,175000000,133228348
M149,145000000,216366733
M150,142000000,160201106
M151,144000000,118099659
M152,140000000,201573391
M153,140000000,190418803
M154,150000000,82161969
M155,145000000,143523463
M156,145000000,209364921
M157,145000000,103400692
M158,100000000,110332737
M159,140000000,111110575
M160,140000000,65007045
M161,150000000,257704099
M162,139000000,403706375
M163,145000000,176997107
M164,140000000,31141074
M165,135000000,31704416
M166,130000000,107503316
M167,140000000,129734803
M168,137000000,132122995
M169,130000000,122512052
M170,130000000,68642452
M171,137000000,32131830
M172,140000000,176636816
M173,135000000,126930660
M174,150000000,93926386
M175,120000000,292298923
M176,135000000,63992328
M177,150000000,134518390
M178,1500000,
M179,140000000,52792307
M180,135000000,183635922
M181,135000000,83024900
M182,135000000,123207194
M183,132000000,83348920
M184,110000000,227137090
M185,130000000,215395021
M186,130000000,180191634
M187,130000000,424645577
M188,120000000,292298923
M189,135000000,177343675
M190,132000000,234277056
M191,130000000,138396624
M192,130000000,149234747
M193,110000000,118311368
M194,125000000,101160529
M195,135000000,77564037
M196,130000000,249358727
M197,130000000,49551662
M198,130000000,60522097
M199,127500000,137748063
M200,,
M201,127000000,113733726
M202,130000000,148337537
M203,125000000,317557891
M204,130000000,33592415
M205,,
M206,140000000,305388685
M207,,
M208,125000000,337103873
M209,125000000,217536138
M210,103000000,131536019
M211,110000000,214948780
M212,125000000,209805005
M213,125000000,186830669
M214,125000000,163192114
M215,65000000,119412921
M216,85000000,32694788
M217,125000000,113165635
M218,125000000,107285004
M219,123000000,260031035
M220,125000000,186739919
M221,125000000,215397307
M222,140000000,182618434
M223,130000000,131920333
M224,120000000,124976634
M225,110000000,115802596
M226,120000000,108521835
M227,120000000,100685880
M228,130000000,126464904
M229,120000000,64736114
M230,115000000,93050117
M231,105000000,57637485
M232,100000000,58607007
M233,120000000,43929341
M234,120000000,30212620
M235,117000000,76418654
M236,120000000,89021735
M237,113000000,380262555
M238,115000000,310675583
M239,115000000,289907418
M240,120000000,132550960
M241,115000000,474544677
M242,135000000,187165546
M243,78000000,
M244,115000000,40911830
M245,115000000,47952020
M246,125000000,190871240
M247,100000000,274084951
M248,116000000,67155742
M249,135000000,81638674
M250,120000000,56114221
M251,110000000,250863268
M252,110000000,155181732
M253,110000000,125332007
M254,110000000,113330342
M255,110000000,125531634
M256,120000000,186336103
M257,110000000,129995817
M258,110000000,102608827
M259,112000000,42776259
M260,120000000,98780042
M261,,
M262,110000000,106369117
M263,110000000,142614158
M264,110000000,50026353
M265,110000000,66002193
M266,110000000,85463309
M267,105000000,71017784
M268,160000000,48068396
M269,110000000,61656849
M270,110000000,134520804
M271,93000000,313837577
M272,110000000,24004159
M273,107000000,58183966
M274,109000000,100446895
M275,120000000,144795350
M276,130000000,47396698
M277,133000000,140015224
M278,105000000,104374107
M279,108000000,228430993
M280,,
M281,126000000,35799026
M282,90000000,6712451
M283,90000000,101643008
M284,103000000,187670866
M285,102000000,132014112
M286,100000000,261970615
M287,150000000,167007184
M288,100000000,180011740
M289,102000000,204843350
M290,100000000,97030725
M291,100000000,130127620
M292,115000000,146282411
M293,100000000,65452312
M294,100000000,148383780
M295,100000000,119219978
M296,100000000,101228120
M297,100000000,162804648
M298,100000000,100117603
M299,100000000,89296573
M300,92000000,85017401
M301,100000000,173005002
M302,100000000,75030163
M303,100000000,77222184
M304,150000000,34964818
M305,100000000,107515297
M306,100000000,67631157
M307,83000000,66862068
M308,100000000,57366262
M309,100000000,116866727
M310,100000000,184031112
M311,105000000,54700065
M312,102000000,27098580
M313,80000000,55673333
M314,100000000,40198710
M315,100000000,72660029
M316,140000000,38120554
M317,100000000,49392095
M318,90000000,39292022
M319,105000000,28772222
M320,84000000,17010646
M321,100000000,24985612
M322,100000000,4411102
M323,100000000,35024475
M324,99000000,130174897
M325,10000000,10200000
M326,98000000,202007640
M327,100000000,77679638
M328,94000000,9213
M329,100000000,58867694
M330,90000000,59475623
M331,92000000,108638745
M332,95000000,86897182
M333,93000000,63540020
M334,100000000,95328937
M335,95000000,50802661
M336,95000000,161317423
M337,95000000,201148159
M338,65000000,43982842
M339,94000000,380838870
M340,94000000,377019252
M341,94000000,340478898
M342,95000000,17176900
M343,115000000,131144183
M344,100000000,23014504
M345,93000000,181166115
M346,93000000,176740650
M347,90000000,71148699
M348,92000000,67344392
M349,107000000,22406362
M350,92000000,261437578
M351,98000000,11000000
M352,95000000,88761720
M353,90000000,250147615
M354,90000000,245823397
M355,100000000,81557479
M356,90000000,226138454
M357,100000000,155370362
M358,100000000,124870275
M359,90000000,196573705
M360,90000000,58229120
M361,92000000,125305545
M362,90000000,132373442
M363,90000000,120618403
M364,92000000,110416702
M365,90000000,102515793
M366,90000000,100012500
M367,90000000,209019489
M368,,
M369,120000000,84037039
M370,90000000,85884815
M371,75000000,83077470
M372,90000000,100018837
M373,88000000,78747585
M374,100000000,78616689
M375,90000000,75817994
M376,90000000,100853835
M377,95000000,73209340
M378,80000000,72515360
M379,90000000,68558662
M380,95000000,65653758
M381,90000000,64685359
M382,68000000,61355436
M383,92000000,26871
M384,90000000,60874615
M385,90000000,143618384
M386,100000000,58220776
M387,90000000,47474112
M388,86000000,42877165
M389,100000000,35168677
M390,120000000,56114221
M391,20000000,37567440
M392,88000000,61644321
M393,90000000,190562
M394,87000000,120147445
M395,92000000,241688385
M396,38000000,144512310
M397,90000000,233630478
M398,100000000,197992827
M399,75000000,176049130
M400,85000000,172620724
M401,85000000,183405771
M402,75000000,20315324
M403,85000000,148313048
M404,85000000,127706877
M405,,
M406,85000000,126149655
M407,85000000,66941559
M408,75000000,78009155
M409,85000000,63224849
M410,90000000,111544445
M411,85000000,112703470
M412,85000000,117144465
M413,85000000,84303558
M414,85000000,150832203
M415,68000000,51396781
M416,85000000,47592825
M417,70000000,50016394
M418,85000000,57010853
M419,85000000,62494975
M420,100000000,46440491
M421,90000000,44606335
M422,85000000,40048332
M423,,
M424,85000000,64933670
M425,60000000,31494270
M426,60000000,31111260
M427,65000000,123307945
M428,84000000,153288182
M429,35000000,13401683
M430,70000000,137340146
M431,8000000,
M432,85000000,43575716
M433,85000000,80170146
M434,85000000,75754670
M435,65000000,33048353
M436,82000000,34543701
M437,81000000,242589580
M438,80000000,102981571
M439,80000000,180965237
M440,78000000,407999255
M441,80000000,254455986
M442,80000000,162831698
M443,80000000,155019340
M444,80000000,145771527
M445,,82506325
M446,75000000,140459099
M447,84000000,53215979
M448,82000000,158115031
M449,75000000,133103929
M450,80000000,133668525
M451,80000000,130313314
M452,80000000,124590960
M453,80000000,127968405
M454,80000000,120136047
M455,75000000,128200012
M456,80000000,112225777
M457,80000000,109993847
M458,80000000,104054514
M459,80000000,103028109
M460,,
M461,75000000,101087161
M462,80000000,101111837
M463,79000000,95632614
M464,80000000,94822707
M465,80000000,92969824
M466,80000000,91188905
M467,80000000,90443603
M468,65000000,82226474
M469,80000000,79363785
M470,75000000,76081498
M471,68000000,85707116
M472,70000000,74329966
M473,80000000,100169068
M474,80000000,73215310
M475,80000000,80360866
M476,80000000,69102910
M477,80000000,65948711
M478,,821997
M479,80000000,169692572
M480,,
M481,80000000,60507228
M482,80000000,56684819
M483,90000000,50628009
M484,80000000,69772969
M485,75000000,45356386
M486,85000000,55350897
M487,80000000,39442871
M488,88000000,37899638
M489,70000000,37754208
M490,,
M491,,27779888
M492,80000000,38542418
M493,80000000,34566746
M494,80000000,32885565
M495,80000000,36073232
M496,44000000,21471685
M497,80000000,20950820
M498,80000000,19673424
M499,80000000,19480739
M500,80000000,17593391
M501,80000000,18318000
M502,90000000,27356090
M503,70000000,17473245
M504,86000000,15131330
M505,40000000,19406406
M506,52000000,1891821
M507,80000000,23219748
M508,8000000,
M509,58000000,170708996
M510,45000000,422783777
M511,79000000,103812241
M512,78000000,119793567
M513,78000000,92930005
M514,100000000,67286731
M515,79000000,74158157
M516,76000000,127083765
M517,81200000,1339152
M518,80000000,15071514
M519,76000000,26000610
M520,75000000,323505540
M521,78000000,66462600
M522,76000000,368049635
M523,75000000,306124059
M524,73000000,229074524
M525,75000000,193136719
M526,76000000,35286428
M527,75000000,157299717
M528,75000000,134568845
M529,75000000,134006721
M530,80000000,195329763
M531,75000000,120776832
M532,75000000,118823091
M533,50000000,41814863
M534,75000000,97360069
M535,75000000,117698894
M536,80000000,162001186
M537,60000000,77032279
M538,,
M539,35000000,73023275
M540,75000000,68473360
M541,75000000,66636385
M542,75000000,160762022
M543,70000000,103338338
M544,,
M545,53000000,55808744
M546,70000000,47379090
M547,70000000,43426961
M548,75000000,47000485
M549,75000000,45434443
M550,80000000,42044321
M551,75000000,73661010
M552,80000000,41523271
M553,55000000,37600435
M554,75000000,39251128
M555,75000000,83503161
M556,52000000,34636443
M557,75000000,22751979
M558,75000000,30013346
M559,75000000,14567883
M560,,90820
M561,75000000,5409517
M562,45000000,21009180
M563,75000000,94999143
M564,74000000,336029560
M565,82000000,36381716
M566,69000000,55585389
M567,75000000,36976367
M568,73000000,107225164
M569,70000000,70224196
M570,75000000,51814190
M571,70000000,47456450
M572,73000000,148213377
M573,72000000,112950721
M574,72000000,75600000
M575,70000000,62647540
M576,75000000,183132370
M577,72000000,27796042
M578,72000000,32616869
M579,59660000,18947630
M580,60000000,114195633
M581,71500000,144156464
M582,72000000,227965690
M583,150000000,436471036
M584,120000000,244052771
M585,70000000,152149590
M586,70000000,141204016
M587,74000000,162495848
M588,80000000,136448821
M589,75000000,120523073
M590,70000000,119654900
M591,100000000,72660029
M592,70000000,117541000
M593,80000000,116643346
M594,,
M595,68000000,100614858
M596,70000000,42272747
M597,60000000,80281096
M598,75000000,219613391
M599,75000000,78120196
M600,70000000,98895417
M601,58000000,70117571
M602,70000000,83552429
M603,70000000,66257002
M604,70000000,65012000
M605,66000000,79883359
M606,70000000,78031620
M607,69500000,54222000
M608,70000000,52474616
M609,70000000,55942830
M610,70000000,40932372
M611,70000000,38345403
M612,70000000,37901509
M613,70000000,48430355
M614,70000000,30157016
M615,60000000,28031250
M616,70000000,33105600
M617,70000000,62321039
M618,75000000,38509342
M619,60000000,19076815
M620,35000000,25093607
M621,70000000,18990542
M622,70000000,14294842
M623,70000000,19819494
M624,70000000,13596911
M625,70000000,8460990
M626,70000000,7097125
M627,70000000,37760080
M628,70000000,5851188
M629,50000000,25121291
M630,70000000,18821279
M631,68000000,118471320
M632,68000000,300523113
M633,68000000,71069884
M634,69000000,251501645
M635,68000000,35324232
M636,68000000,81257500
M637,70000000,617840
M638,65000000,29655590
M639,36000000,45045037
M640,68000000,28965197
M641,,27550735
M642,70000000,39380442
M643,,72980108
M644,69000000,37516013
M645,66000000,87704396
M646,,
M647,66000000,83892374
M648,35000000,5932060
M649,70000000,216119491
M650,66000000,43568507
M651,70000000,182805123
M652,59000000,176387405
M653,68000000,33685268
M654,65000000,182204440
M655,63000000,171383253
M656,62000000,172071312
M657,65000000,119412921
M658,60000000,139225854
M659,61000000,148775460
M660,65000000,115731542
M661,65000000,100468793
M662,65000000,93771072
M663,65000000,100448498
M664,65000000,115603980
M665,65000000,90454043
M666,70000000,84049211
M667,50000000,70450000
M668,60000000,69688384
M669,63000000,70236496
M670,65000000,63695760
M671,65000000,59617068
M672,65000000,55637680
M673,65000000,85911262
M674,50100000,53846915
M675,65000000,54758461
M676,65000000,52397389
M677,16900000,
M678,65000000,38966057
M679,65000000,42345531
M680,45000000,36064910
M681,65000000,33328051
M682,65000000,32598931
M683,65000000,28045540
M684,63000000,37023395
M685,65000000,43532294
M686,,
M687,70000000,17218080
M688,65000000,10014234
M689,65000000,19059018
M690,50000000,1987287
M691,43000000,24407944
M692,65000000,13750556
M693,64000000,31054924
M694,55000000,43247140
M695,50000000,2208939
M696,63000000,213079163
M697,65000000,19548064
M698,63000000,356784000
M699,63000000,25052000
M700,62000000,122012710
M701,65000000,72413
M702,64000000,58255287
M703,62000000,77086030
M704,62000000,65000000
M705,62000000,32178777
M706,42000000,15738632
M707,44000000,54116191
M708,61000000,118153533
M709,63000000,108012170
M710,65000000,210592590
M711,80000000,279167575
M712,60000000,143151473
M713,60000000,136801374
M714,,168213584
M715,150000000,135381507
M716,61000000,167735396
M717,60000000,121468960
M718,58000000,106635996
M719,95000000,102678089
M720,60000000,125603360
M721,70000000,101217900
M722,60000000,104148781
M723,61000000,75573300
M724,60000000,93375151
M725,60000000,106126012
M726,60000000,93307796
M727,105000000,90646554
M728,60000000,109176215
M729,60000000,82670733
M730,60000000,82569532
M731,61000000,81687587
M732,60000000,80574010
M733,60000000,75764085
M734,58000000,90356857
M735,55000000,75530832
M736,60000000,75370763
M737,65000000,100003492
M738,60000000,90341670
M739,55000000,74540762
M740,60000000,80033643
M741,60000000,73648142
M742,60000000,71844424
M743,60000000,75638743
M744,60000000,66734992
M745,60000000,75280058
M746,48000000,64505912
M747,70000000,77862546
M748,50000000,61112916
M749,60000000,88200225
M750,60000000,60573641
M751,66000000,59035104
M752,60000000,56702901
M753,60000000,55994557
M754,60000000,54910560
M755,60000000,53789313
M756,60000000,51045801
M757,60000000,50818750
M758,,
M759,60000000,50189179
M760,60000000,50024083
M761,60000000,50549107
M762,60000000,56443482
M763,60000000,62401264
M764,75000000,47748610
M765,61000000,46975183
M766,60000000,50807639
M767,48000000,46611204
M768,60000000,257756197
M769,45000000,48472213
M770,60000000,43060566
M771,60000000,45996718
M772,60000000,43337279
M773,60000000,37479778
M774,,36965395
M775,60000000,40559930
M776,65000000,36830057
M777,60000000,36279230
M778,70000000,42194060
M779,60000000,43119879
M780,60000000,35096190
M781,,35754555
M782,80000000,43290977
M783,40000000,33927476
M784,60000000,32122249
M785,60000000,40076438
M786,60000000,32940507
M787,60000000,31670931
M788,60000000,30695227
M789,60000000,32522352
M790,,28424210
M791,87000000,26082914
M792,60000000,29136626
M793,60000000,26288320
M794,60000000,26616590
M795,220000000,623279547
M796,60000000,30063805
M797,50000000,22518325
M798,60000000,13082288
M799,60000000,18208078
M800,65000000,14218868
M801,60000000,22451
M802,60000000,31165421
M803,60000000,11802056
M804,30000000,25472967
M805,55000000,22362500
M806,60000000,17281832
M807,60000000,19781879
M808,60000000,7605668
M809,60000000,4535117
M810,35000000,4426297
M811,68005000,
M812,80000000,10166502
M813,58000000,363024263
M814,60000000,12065985
M815,58800000,350123553
M816,58000000,80021740
M817,3000000,
M818,58000000,48291624
M819,60000000,35231365
M820,63000000,53715611
M821,58000000,31199215
M822,,
M823,58000000,29580087
M824,58000000,44665963
M825,60000000,60128566
M826,58000000,49875589
M827,,
M828,57000000,60984028
M829,70000000,36931089
M830,57000000,51317350
M831,58000000,28328132
M832,57000000,51774002
M833,57000000,25528495
M834,,
M835,56000000,113006880
M836,56000000,45860039
M837,55000000,329691196
M838,60000000,217326336
M839,55000000,166225040
M840,55000000,141600000
M841,55000000,134218018
M842,54000000,128769345
M843,70000000,177575142
M844,55000000,105263257
M845,55000000,104354205
M846,55000000,107100855
M847,55000000,98711404
M848,50000000,100328194
M849,55000000,101530738
M850,55000000,93815117
M851,53000000,91400000
M852,55000000,162586036
M853,55000000,89706988
M854,55000000,83000000
M855,55000000,78745923
M856,30000000,70098138
M857,55000000,66365290
M858,1400000,
M859,30000000,66207920
M860,55000000,63408614
M861,55000000,58422650
M862,55000000,56932305
M863,55000000,68750000
M864,55000000,68218041
M865,55000000,25040293
M866,55000000,55747724
M867,50000000,55473600
M868,55000000,49994804
M869,55000000,41609593
M870,55000000,38553833
M871,55000000,76137505
M872,68000000,34350553
M873,55000000,34238611
M874,55000000,34098563
M875,55000000,33828318
M876,55000000,33472850
M877,55000000,31051126
M878,55000000,35707327
M879,50000000,20550712
M880,55000000,18573791
M881,70000000,51225796
M882,55000000,16264475
M883,62000000,25857987
M884,56000000,12870569
M885,71000000,11466088
M886,55000000,16088610
M887,50000000,51178893
M888,57000000,6768055
M889,55000000,39440655
M890,47000000,6167817
M891,2000000,
M892,55000000,
M893,54000000,81645152
M894,55000000,69951824
M895,55000000,9483821
M896,54000000,66676062
M897,57000000,26838389
M898,54000000,75604320
M899,54000000,108200000
M900,54000000,5660084
M901,55000000,7221458
M902,46000000,70327868
M903,50000000,58297830
M904,52500000,57386369
M905,53000000,45207112
M906,53000000,62563543
M907,90000000,33574332
M908,50000000,73343413
M909,53000000,25031037
M910,55000000,22843047
M911,55000000,5755286
M912,52000000,164435221
M913,40000000,95720716
M914,52000000,118683135
M915,52000000,143704210
M916,52000000,110476776
M917,50000000,80270227
M918,52000000,36385763
M919,52000000,37035845
M920,52000000,34580635
M921,52000000,42438300
M922,52000000,23324666
M923,52000000,23020488
M924,51000000,90567722
M925,51000000,72601713
M926,,35092918
M927,50000000,296623634
M928,60000000,267652016
M929,50200000,62453315
M930,48000000,165500000
M931,50000000,153620822
M932,50000000,218628680
M933,50000000,147637474
M934,50000000,135014968
M935,50000000,2175312
M936,50000000,126203320
M937,50000000,126975169
M938,52000000,125548685
M939,50000000,105807520
M940,50000000,191616238
M941,60000000,105264608
M942,70000000,97680195
M943,50000000,126088877
M944,50000000,91030827
M945,50000000,150315155
M946,50000000,127997349
M947,45000000,88504640
M948,50000000,81517441
M949,50000000,81022333
M950,,75621915
M951,50000000,79948113
M952,50000000,88658172
M953,,75888270
M954,50000000,84244877
M955,35000000,75367693
M956,60000000,73701902
M957,50000000,75605492
M958,50000000,67823573
M959,50000000,91439400
M960,65000000,67128202
M961,54000000,70496802
M962,50000000,60470220
M963,,
M964,50000000,58336565
M965,50000000,66002004
M966,50000000,54997476
M967,50000000,55682070
M968,50000000,52752475
M969,60000000,55092830
M970,50000000,50815288
M971,50000000,52822418
M972,50000000,50150619
M973,50000000,48745150
M974,50000000,50007168
M975,50000000,48154732
M976,50000000,48265581
M977,50000000,46982632
M978,50000000,44737059
M979,50000000,56724080
M980,50000000,44484065
M981,50000000,47553512
M982,55000000,42610000
M983,50000000,41482207
M984,50000000,47105085
M985,50000000,41256277
M986,45000000,50740078
M987,40000000,40203020
M988,50000000,40905277
M989,50000000,38590500
M990,50000000,39177541
M991,50000000,39778599
M992,50000000,37486138
M993,40000000,38105077
M994,50000000,35168395
M995,,
M996,40000000,32800000
M997,50000000,33643461
M998,50000000,32741596
M999,50000000,31874869
M1000,50000000,30306268
M1001,50000000,27667947
M1002,50000000,27067160
M1003,40000000,26616999
M1004,50000000,26536120
M1005,50000000,26199517
M1006,50000000,25450527
M1007,50000000,25407250
M1008,,
M1009,70000000,23159305
M1010,50000000,24006726
M1011,50000000,20389967
M1012,50000000,19593740
M1013,40000000,19118247
M1014,50000000,26442251
M1015,25000000,17114882
M1016,50000000,18472363
M1017,390000000,14131298
M1018,49900000,21557240
M1019,55000000,21283440
M1020,50000000,10556196
M1021,50000000,16671505
M1022,50000000,10400000
M1023,22000000,9528092
M1024,,
M1025,50000000,10137232
M1026,50000000,9795017
M1027,50000000,20488579
M1028,60000000,19445217
M1029,55000000,8355815
M1030,50000000,28837115
M1031,50000000,6471394
M1032,50000000,6291602
M1033,50000000,10706786
M1034,18000000,8742261
M1035,49000000,43905746
M1036,,
M1037,40000000,21413502
M1038,,7994115
M1039,48000000,124107476
M1040,48000000,197171806
M1041,,12802907
M1042,49000000,31569268
M1043,48000000,66488090
M1044,48000000,95308367
M1045,1500000,
M1046,48000000,60652036
M1047,50000000,1206135
M1048,48000000,56607223
M1049,48000000,50173190
M1050,48000000,47095453
M1051,48000000,37879996
M1052,58000000,25900000
M1053,55000000,53574088
M1054,48000000,89253340
M1055,48000000,37339525
M1056,47000000,60154431
M1057,,528972
M1058,100000000,103738726
M1059,48000000,69304264
M1060,48000000,29781453
M1061,14000000,
M1062,1000000,
M1063,47000000,15519841
M1064,47000000,5600000
M1065,46000000,126805112
M1066,48000000,93607673
M1067,46000000,67263182
M1068,45000000,92001027
M1069,47000000,10539414
M1070,46000000,58918501
M1071,45000000,181395380
M1072,25000000,14946229
M1073,48000000,
M1074,45000000,130512915
M1075,45000000,139852971
M1076,48000000,110000082
M1077,45000000,106807667
M1078,45000000,101702060
M1079,40000000,95149435
M1080,45000000,100768056
M1081,45000000,92115211
M1082,45000000,93452056
M1083,45000000,83287363
M1084,60000000,82931301
M1085,46000000,60962878
M1086,45000000,76261036
M1087,45000000,71423726
M1088,45000000,71277420
M1089,45000000,88625922
M1090,45000000,70001065
M1091,30000000,67253092
M1092,45000000,66790248
M1093,45000000,65557989
M1094,45000000,60786269
M1095,45000000,59365105
M1096,120000000,162792677
M1097,35000000,31598308
M1098,45000000,57362581
M1099,45000000,53854588
M1100,2500000,
M1101,45000000,52580895
M1102,50000000,51019112
M1103,26000000,48114556
M1104,45000000,50648679
M1105,40000000,46280507
M1106,45000000,38360195
M1107,45000000,46815748
M1108,45000000,35617599
M1109,45000000,47307550
M1110,25000000,32003620
M1111,35000000,27972410
M1112,50000000,28133159
M1113,40000000,27400000
M1114,45000000,24343673
M1115,35000000,22877808
M1116,52000000,36883539
M1117,70000000,22531698
M1118,45000000,20400913
M1119,45000000,20101861
M1120,45000000,25200412
M1121,45000000,19719930
M1122,45000000,19377727
M1123,35000000,13401683
M1124,45000000,17300889
M1125,57000000,15527125
M1126,50000000,13560960
M1127,45000000,15523168
M1128,45000000,11146409
M1129,45000000,7916887
M1130,45000000,6565495
M1131,40000000,15279680
M1132,40000000,7262288
M1133,45000000,4584886
M1134,,
M1135,45000000,2154540
M1136,45000000,8129455
M1137,65000000,
M1138,44500000,136019448
M1139,44000000,183875760
M1140,40000000,67061228
M1141,44000000,53300852
M1142,44000000,150415432
M1143,44000000,44834712
M1144,2600000,84300000
M1145,44000000,1500000
M1146,50000000,62318875
M1147,40000000,5773519
M1148,43000000,51768623
M1149,43000000,37035515
M1150,45000000,24520892
M1151,43000000,24430272
M1152,42000000,158348400
M1153,44000000,31136950
M1154,40000000,29113588
M1155,42000000,138447667
M1156,42000000,116006080
M1157,45000000,106793915
M1158,42000000,87856565
M1159,40000000,70100000
M1160,43000000,159578352
M1161,31115000,57750000
M1162,42000000,45290318
M1163,42000000,41543207
M1164,42000000,41252428
M1165,32000000,35228696
M1166,42000000,59992760
M1167,32000000,34667015
M1168,42000000,37652565
M1169,42000000,24375436
M1170,42000000,20915465
M1171,50000000,24127895
M1172,31000000,84961
M1173,40000000,26404753
M1174,44000000,6105175
M1175,45000000,5664251
M1176,,
M1177,27000000,1260917
M1178,41000000,116724075
M1179,,
M1180,65000000,56083966
M1181,41000000,22108977
M1182,40000000,293501675
M1183,42000000,18600911
M1184,41000000,7204138
M1185,8000000,90800000
M1186,40000000,150117807
M1187,40000000,163947053
M1188,70000000,116735231
M1189,40000000,118500000
M1190,40000000,126546825
M1191,40000000,166147885
M1192,38000000,111760631
M1193,40000000,108706165
M1194,40000000,138614544
M1195,40000000,125069696
M1196,40000000,107458785
M1197,40000000,102310175
M1198,40000000,96917897
M1199,40000000,93952276
M1200,45000000,90703745
M1201,40000000,89138076
M1202,40000000,87666629
M1203,40000000,90353764
M1204,40000000,82522790
M1205,40000000,94125426
M1206,40000000,95001343
M1207,40000000,81292135
M1208,35000000,86208010
M1209,40000000,81593527
M1210,35000000,75274748
M1211,40000000,90835030
M1212,40000000,72455275
M1213,40000000,75305995
M1214,40000000,74098862
M1215,40000000,72266306
M1216,40000000,71347010
M1217,40000000,70836296
M1218,40000000,70405498
M1219,40000000,70163652
M1220,34000000,66808615
M1221,65000000,115603980
M1222,20000000,64149837
M1223,40000000,83906114
M1224,40000000,66466372
M1225,40000000,72306065
M1226,40000000,59068786
M1227,,60923325
M1228,50000000,57887882
M1229,40000000,53955614
M1230,40000000,54967359
M1231,35000000,54228104
M1232,40000000,57981889
M1233,30000000,61094903
M1234,40000000,53082743
M1235,42000000,54414716
M1236,40000000,57011847
M1237,40000000,50859889
M1238,30000000,51185897
M1239,40000000,52000688
M1240,40000000,49851591
M1241,40000000,47781388
M1242,40000000,52320979
M1243,43000000,47806295
M1244,25000000,51853450
M1245,40000000,46012734
M1246,40000000,47034272
M1247,40000000,45856732
M1248,40000000,59588068
M1249,36000000,44175394
M1250,40000000,45500797
M1251,40000000,41797066
M1252,40000000,38087756
M1253,40000000,37752931
M1254,,50562555
M1255,40000000,37371385
M1256,40000000,37101011
M1257,40000000,38176892
M1258,40000000,36283504
M1259,38000000,35183792
M1260,40000000,38543473
M1261,60000000,36037909
M1262,40000000,42575718
M1263,40000000,33864342
M1264,40000000,33508922
M1265,30000000,42071069
M1266,,
M1267,40000000,32853640
M1268,40000000,42615685
M1269,25000000,32055248
M1270,40000000,31836745
M1271,40000000,30993544
M1272,40000000,30981850
M1273,40000000,30199105
